SHAPE_ID	SHAPE_CD	SHAPE_DICT_ID	SHAPE_UNIT_DICT_ID
1	PIECE	1151	1152
2	BOWL	1153	1154
3	CASE	1155	1156
4	GRAM	1157	1158
