DICT_ID	DICT_NM	DATA_TYPE	SYSTEM_TYPE
1	メインメニュー		base
2	プレビュー		base
3	印刷設定		base
4	プリンタ		base
5	部数		base
6	部単位		base
7	給紙トレイ		base
8	帳票レイアウト		base
9	印刷		base
10	レイアウトファイルアップロード		base
11	帳票選択		base
12	帳票レイアウトファイルアップロード		base
13	サブレポートレイアウトファイルアップロード		base
14	日本語(日本)		base
15	管理者		base
16	システム管理者		base
17	標準ユーザ		base
18	システム管理不可		base
19	共通設定不可		base
20	英語(米国)		base
21	簡体(中国)		base
22	グリッドヘッダ設定(ユーザ)		base
23	グリッドヘッダ設定(基本)		base
24	リセット		base
25	列一覧		base
26	列幅一覧		base
27	明細詳細		base
28	ログイン		base
29	ログインID		base
30	パスワード		base
31	古いパスワード		base
32	新しいパスワード		base
33	パスワードの確認入力		base
34	パスワード変更		base
35	認証管理		base
36	次回ログイン時のパスワード変更の強制		base
37	パスワード変更日時		base
38	最終ログイン日時		base
39	最終ログイン失敗日時		base
40	ログイン失敗回数		base
41	ロックアウト日時		base
42	利用可能開始日		base
43	利用可能開始時間		base
44	利用可能終了日		base
45	利用可能終了時間		base
46	ユーザ編集		base
47	次回のログイン時にパスワードの変更を強制する		base
48	プリンタグループマスタメンテナンス		base
49	プリンタグループマスタメンテナンスグリッド		base
50	印刷サービス情報メンテナンス(一覧)		base
51	印刷サービス情報メンテナンスグリッド		base
52	印刷サービス情報メンテナンス(編集)		base
53	プリンタマスタメンテナンス		base
54	プリンタマスタメンテナンスグリッド		base
55	プリンタ属性マスタメンテナンス		base
56	プリンタ属性マスタメンテナンスグリッド		base
57	印刷情報一覧		base
58	印刷情報一覧グリッド		base
59	印刷履歴一覧		base
60	印刷履歴一覧グリッド		base
61	システム管理マスタメンテナンス		base
62	プリンタグループ名称		base
63	プリンタグループ属性1		base
64	プリンタグループ属性2		base
65	プリンタグループ属性3		base
66	プリンタグループ属性4		base
67	プリンタグループ属性5		base
68	印刷サービス名称		base
69	端末名称		base
70	プリンタグループ		base
71	印刷サービスステータス		base
72	更新可否		base
73	帳票レイアウト属性1		base
74	帳票レイアウト属性2		base
75	帳票レイアウト属性3		base
76	帳票レイアウト属性4		base
77	帳票レイアウト属性5		base
78	プリンタ属性		base
79	再印刷有無		base
80	印刷日時		base
81	印刷日(From)	date	base
82	印刷時間(From)		base
83	印刷日(To)	date	base
84	印刷時間(To)		base
85	再印刷No.		base
86	印刷結果		base
87	再印刷		base
88	プリンタ表示可否		base
89	トレイ表示可否		base
90	システムパスワード		base
91	自動印刷プリンタ設定		base
92	自動印刷プリンタ設定(一覧)		base
93	自動印刷プリンタ設定グリッド		base
94	自動印刷プリンタ設定(編集)		base
95	自動印刷プリンタ一括変更(一覧)		base
96	自動印刷プリンタ一括変更(編集)		base
97	自動印刷プリンタ一括変更グリッド		base
98	プリンタ名称(変更前)		base
99	トレイ名称(変更前)		base
100	プリンタ名称(変更後)		base
101	トレイ名称(変更後)		base
102	自動印刷対象レイアウト		base
103	キュー登録日時		base
104	キュー登録日(From)	date	base
105	キュー登録時間(From)		base
106	キュー登録日(To)	date	base
107	キュー登録時間(To)		base
108	印刷履歴詳細		base
109	ページ総数		base
110	印刷ユーザCD		base
111	保護PDF		base
112	印刷データタイプ		base
113	お知らせマスタメンテナンスグリッド		base
114	メッセージマスタメンテナンスグリッド		base
115	メニューマスタメンテナンスグリッド		base
116	メニューマスタ一覧グリッド		base
117	ユーザマスタ一覧グリッド		base
118	ログ一覧グリッド		base
119	ログ明細一覧グリッド		base
120	画面グリッドマスタメンテナンスグリッド		base
121	画面グリッド権限マスタメンテナンスグリッド		base
122	画面マスタ一覧グリッド		base
123	画面項目マスタメンテナンスグリッド		base
124	画面項目権限マスタメンテナンスグリッド		base
125	区分値グループマスタメンテナンスグリッド		base
126	区分値グループ明細マスタメンテナンスグリッド		base
127	区分値マスタメンテナンスグリッド		base
128	区分値マスタ一覧グリッド		base
129	権限グループマスタメンテナンスグリッド		base
130	権限グループマスタ一覧グリッド		base
131	権限マスタメンテナンスグリッド		base
132	権限マスタ一覧グリッド		base
133	辞書カルチャマスタメンテナンスグリッド		base
