MESSAGE_ID	MESSAGE_CD	MESSAGE_TYPE	SYSTEM_TYPE	MESSAGE_NM	MESSAGE_ABBR	CULTURE_ID
1	acceptFileTypes	error	base	サーバへ送信できないファイルが含まれています。	送信不可	1
2	accessDisableToScreenError	error	base	遷移しようとしている画面を使用する権限がありません。[/]メニューに遷移します。		1
3	afterAutoPrintSetting	info	base	自動印刷設定(変更後)		1
4	alreadyDeletedCannotDeleteError	error	base	既に削除されています。	既に削除済	1
5	alreadyRegisteredCannotRegisterError	error	base	既に登録されています。	既に登録済	1
6	applyOrderDuplicateError	error	base	適用順序が重複しています。	重複	1
7	argMasterError	error	base	引数マスタ取得エラー	取得失敗	1
8	authFatalError	error	base	認証処理にて致命的エラーが発生しました。[/]管理者に連絡して下さい。		1
9	authenticationTokenInvalidError	error	base	ログアウトされています。認証画面より再度ログインして下さい。		1
10	authorizationError	error	base	システムに対するアクセス権がありません。[/]管理者に連絡して下さい。		1
11	beforeAutoPrintSetting	info	base	自動印刷設定(変更前)		1
12	classCdDuplicateError	error	base	区分値CDが重複しています。	重複	1
13	classDtlCdDuplicateError	error	base	区分値明細CDが重複しています。	重複	1
14	classGrpCdDuplicateError	error	base	区分値グループCDが重複しています。	重複	1
15	clear	info	base	クリア		1
16	colCdDuplicateError	error	base	列CDが重複しています。	重複	1
17	colOrderDuplicateError	error	base	列順序が重複しています。	重複	1
18	columnMasterError	error	base	列マスタ取得エラー	取得失敗	1
19	confirmDeleteRow	info	base	選択した行を削除しますか？		1
20	cultureMasterError	error	base	カルチャマスタ取得エラー	取得失敗	1
21	dataDeleteConfirmation	confirm	base	対象データを削除しますか？		1
22	dataNotFoundError	error	base	該当データが存在しません。	未存在	1
23	dataNotFoundTransitionError	error	base	データ未登録のためページ遷移出来ません。		1
24	dataRegisterConfirmation	confirm	base	対象データを登録しますか？		1
25	dataUpdateConfirmation	confirm	base	対象データを更新しますか？		1
26	dateError	error	base	日付不正(形式:[0])	日付不正(形式:[0])	1
27	decimalLengthError	error	base	小数[0]桁以内	小数[0]桁以内	1
28	delete	info	base	削除		1
29	deleteExceptionError	error	base	削除処理時にエラーが発生しました。(詳細：[0])	削除例外エラー	1
30	deleteRowErrNotSelect	info	base	削除する行が選択されていません。	未選択	1
31	deleteRowSuccess	info	base	行を削除しました。		1
32	developerMessage	error	base	開発者向けメッセージ		1
33	dictNmDuplicateError	error	base	辞書名が重複しています。	重複	1
34	dictNotFoundError	error	base	辞書マスタに存在しません。	辞書未存在	1
35	dispNmNotFoundInDispMasterError	error	base	画面名称が画面マスタに存在しません。	未存在	1
36	duplicateClickError	error	base	登録しようとしたデータはすでに登録済みです。	二重送信	1
37	entityAlreadyDeletedError	error	base	他のユーザに変更された可能性があります。内容を確認して下さい。	他ユーザ変更	1
38	entityAlreadyExistsError	error	base	データが重複している為、登録できません。管理者に連絡して下さい。	重複	1
