MENU_GRP_ID	MENU_GRP_CD	DICT_ID	PARENT_MENU_GRP_ID	VIEW_ORDER	VISIBLE_TYPE
1	ReceiveMenu	3359		1	HT
2	ShippingMenu	3360		2	HT
3	StockMenu	1590		3	HT
4	InventoryMenu	5155		4	HT
5	SystemMenu	5154		5	HT
6	RECEIVE	3359		1	PC
7	SHIPPING	3360		2	PC
8	TRIMALLOC	3361		3	PC
9	STOCK	1590		4	PC
10	RETURNS	3363		5	PC
11	SORTING	3362		6	PC
12	MASTER	158		7	PC
13	OPERATION	1083		8	PC
14	SYSTEM	1082		9	PC
