COL_ID	ITEM_ID	COL_CD	DICT_ID	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE
103	1547	bclassDtlByPrintStatus.vdict.dictNm	273	1	text	1	0		0	140		
104	1547	bclassDtlByPrintedFlg.vdict.dictNm	79	11	text	1	0		0	100		
105	1547	printerNm	4	8	text	1	0		0	170		
106	1547	trayNm	7	9	text	1	0		0	170		
107	1547	printNum	5	12	number	1	0	right	0	100		
108	1547	bclassDtlBySheetCollate.vdict.dictNm	603	14	text	1	0		0	130		
109	1547	latestPrintDt	80	3	datetime	1	0		0	180		
110	1547	queueAddDt	103	2	datetime	1	0		0	180		
111	1547	documentPageSize	109	13	number	1	0	right	0	100		
112	1547	addUser	110	10	text	1	0		0	120		
113	1547	bclassDtlByPrintDataType.vdict.dictNm	112	6	text	1	0		0	130		
114	1574	printServiceNm	68	1	text	1	0		0	300		
115	1574	terminalNm	69	2	text	1	0		0	300		
116	1574	macAddress	3348	3	text	1	0		0	250		
117	1574	printerGroupNm	70	4	dropdown	1	0		0	200		
118	1574	bclassDtlByPrintServiceStatus.vdict.dictNm	71	5	dropdown	1	0		0	200		
119	1582	propertyNm	1063	1	text	1	1		1	300		
120	1582	propertyValue	3326	2	text	1	1		1	400		
121	1582	propertyComment	3327	3	text	1	1		0	800		
122	1582	delFlg	805	4	dropdown	1	1		0	110		
123	1593	itemCd	357	1	text	1	1		1	200		
124	1593	vdict.dictNm	1063	2	text	1	1		0	200		
125	1593	itemType	359	3	dropdown	1	1		0	200		
126	1593	visible	602	4	dropdown	1	1		1	200		
127	1593	itemFormat	1263	5	text	1	1		0	200		
128	1623	itemCd	357	1	text	1	1		1	200		
129	1623	vdict.dictNm	1063	2	text	1	1		0	300		
130	1623	itemType	359	3	dropdown	1	1		0	200		
131	1623	visible	602	4	dropdown	1	1		1	200		
132	1623	itemFormat	1263	5	text	1	1		0	200		
133	1623	delFlg	805	6	dropdown	1	1		0	110		
134	1629	preport.reportCd	518	1	text	1	0		0	200		
135	1629	preport.reportNm	525	2	text	1	0		0	300		
136	1629	reportLayoutNm	524	3	text	1	0		0	400		
137	1645	reportCd	518	1	text	1	1		1	200		
138	1645	reportNm	149	2	text	1	1		1	300		
139	1645	delFlg	805	3	dropdown	1	1		0	110		
140	1653	roleCd	1069	1	text	1	0		0	300		
141	1653	vdict.dictNm	341	2	text	1	0		0	300		
142	1653	broleGrpDtlList[0].applyOrder	530	3	number	1	1	right	0	75		
143	1658	roleGrpCd	1021	1	text	1	0		0	300		
144	1658	vdict.dictNm	1022	2	text	1	0		0	300		
145	1658	roleControlClass	143	3	text	1	0		0	300		
146	1658	bclassDtlByRoleControlClass.vdict.dictNm	144	4	text	1	0		0	300		
147	1668	roleCd	1069	1	text	1	0		0	300		
148	1668	vdict.dictNm	341	2	text	1	0		0	300		
149	1684	colCd	630	1	text	1	1		1	300		
150	1684	vdict.dictNm	1134	2	text	1	1		1	300		
151	1684	colOrder	634	3	number	1	1	right	0	70		
152	1684	colType	632	4	dropdown	1	1		0	270		
153	1684	visible	602	5	dropdown	1	1		1	110		
154	1684	editable	606	6	dropdown	1	1		1	130		
155	1684	textAlign	601	7	dropdown	1	1		0	185		
156	1684	necessary	600	8	dropdown	1	1		1	95		
157	1684	colWidth	635	9	number	1	1	right	0	60		
158	1684	inColIndex	586	10	number	1	1	right	0	155		
159	1684	inColDefaultValue	2896	11	text	1	1		0	300		
160	1684	bcolValidAsOne.inputLimit	1034	12	dropdown	1	1		0	450		
161	1684	bcolValidAsOne.limitMessageCd	476	13	text	1	1		0	420		
162	1684	bcolValidAsOne.minChars	367	14	number	1	1	right	0	90		
163	1684	bcolValidAsOne.maxChars	371	15	number	1	1	right	0	90		
164	1684	bcolValidAsOne.minNumber	366	16	number	1	1	right	0	230		
165	1684	bcolValidAsOne.maxNumber	370	17	number	1	1	right	0	230		
166	1684	bcolValidAsOne.integerLength	477	18	number	1	1	right	0	75		
167	1684	bcolValidAsOne.decimalLength	472	19	number	1	1	right	0	75		
168	1684	delFlg	805	20	dropdown	1	1		0	110		
169	1692	colCd	630	1	text	1	0		0	300		
170	1692	vdict.dictNm	1134	2	text	1	0		0	300		
171	1692	bclassDtlByVisible.vdict.dictNm	602	3	text	1	0		0	75		
172	1692	bclassDtlByEditable.vdict.dictNm	606	4	text	1	0		0	75		
173	1692	roleColVisible	1064	5	dropdown	1	1		0	140		
174	1692	roleColEditable	1065	6	dropdown	1	1		0	140		
175	1697	itemCd	357	1	text	1	1		1	300		
176	1697	vdict.dictNm	1063	2	text	1	1		1	300		
177	1697	itemType	359	3	dropdown	1	1		0	270		
178	1697	visible	602	4	dropdown	1	1		1	110		
179	1697	editable	606	5	dropdown	1	1		1	130		
180	1697	textAlign	601	6	dropdown	1	1		0	185		
181	1697	necessary	600	7	dropdown	1	1		1	95		
182	1697	displayRequired	135	8	dropdown	1	1		1	95		
183	1697	bitemValidAsOne.inputLimit	1034	9	dropdown	1	1		0	450		
184	1697	bitemValidAsOne.limitMessageCd	476	10	text	1	1		0	420		
185	1697	bitemValidAsOne.minChars	367	11	number	1	1	right	0	90		
186	1697	bitemValidAsOne.maxChars	371	12	number	1	1	right	0	90		
187	1697	bitemValidAsOne.minNumber	366	13	number	1	1	right	0	230		
188	1697	bitemValidAsOne.maxNumber	370	14	number	1	1	right	0	230		
189	1697	bitemValidAsOne.integerLength	477	15	number	1	1	right	0	75		
190	1697	bitemValidAsOne.decimalLength	472	16	number	1	1	right	0	75		
191	1697	delFlg	805	17	dropdown	1	1		0	110		
192	1704	itemCd	357	1	text	1	0		0	300		
193	1704	vdict.dictNm	1063	2	text	1	0		0	300		
194	1704	bclassDtlByVisible.vdict.dictNm	602	3	text	1	0		0	75		
195	1704	bclassDtlByEditable.vdict.dictNm	606	4	text	1	0		0	75		
196	1704	roleItemVisible	1064	5	dropdown	1	1		0	140		
197	1704	roleItemEditable	1065	6	dropdown	1	1		0	140		
198	1710	screenCd	357	1	text	1	0		0	300		
199	1710	vdict.dictNm	1076	2	text	1	0		0	300		
200	1710	systemTypeNm	200	3	text	1	0		0	110		
201	1723	screenCd	307	1	text	1	0		0	300		
202	1723	vdict.dictNm	1076	2	text	1	0		0	300		
203	1723	visible	602	3	dropdown	1	1		0	110		
204	1731	terminalCd	155	1	text	1	0		0	200		
205	1731	terminalNm	69	2	text	1	0		0	200		
206	1747	reportNm	525	1	text	1	0		0	150		
207	1747	reportLayoutNm	524	2	text	1	0		0	150		
208	1747	attribute1	73	3	text	1	0		0	150		
209	1747	attribute2	74	4	text	1	0		0	150		
210	1747	attribute3	75	5	text	1	0		0	150		
211	1747	attribute4	76	6	text	1	0		0	150		
212	1747	attribute5	77	7	text	1	0		0	150		
213	1747	printerGroupNm	70	8	dropdown	1	0		0	150		
214	1747	printerNm	234	9	dropdown	1	0		0	150		
215	1747	trayNm	220	10	dropdown	1	0		0	150		
216	1756	userCd	247	1	text	1	0		0	300		
217	1756	userNm	252	2	text	1	0		0	300		
218	1756	bculture.cultureCd	1018	3	text	1	0		0	115		
219	1756	cultureNm	1019	4	text	1	0		0	300		
220	1756	broleGrp.roleGrpCd	1021	5	text	1	0		0	300		
221	1756	roleGrpNm	1022	6	text	1	0		0	300		
222	1756	delFlg	1196	7	text	1	0		0	110		
223	1756	delFlgNm	1197	8	text	1	0		0	110		
224	1807	productCd	4918	1	text	1	0		0			
225	1807	productNm	4960	2	text	1	0		0			
226	1807	pickfrdate	5367	3	date	1	0		0			
227	1807	picktodate	5370	4	date	1	0		0			
228	1807	validtypeNm	5373	5	text	1	0		0			
229	1807	pickrank1Nm	5374	6	text	1	0		0			
230	1807	pickrank2Nm	5375	7	text	1	0		0			
231	1807	pickrank3Nm	5376	8	text	1	0		0			
232	1807	pickrank4Nm	5377	9	text	1	0		0			
233	1807	pickrank5Nm	5378	10	text	1	0		0			
234	1807	updDt	355	11	datetime	1	0		0			
235	1807	updUser	4970	12	text	1	0		0			
236	1807	usernum1	4942	13	text	0	0		0			
237	1807	usernum3	5247	14	text	0	0		0			
238	1807	centerCd	4971	15	text	0	0		0			
239	1807	centerNm	4972	16	text	0	0		0			
240	1807	clientCd	297	17	text	0	0		0			
241	1807	clientNm	303	18	text	0	0		0			
242	1828	receiveRowId	760	1	number	1	0	right	0	60		
243	1828	barcode	1623	2	text	1	0		0	300	2	
244	1828	barcodeNm	1624	3	text	1	0		0	300	3	
245	1828	barcodeLabelComment	1618	4	text	1	0		0	300	4	
246	1828	outputCnt	1620	5	number	1	0	right	0	80	5	
247	1828	errorMessageNm	975	6	text	1	0		0	400		
248	1843	bolNo	2967	1	text	1	0		0	235		
249	1843	pickingWorkNo	3132	2	text	1	0		0	235		
250	1843	shippingDt	443	3	date	1	0		0	170		
251	1843	carrierCd	284	4	text	1	0		0	235		
252	1843	carrierNm	286	5	text	1	0		0	300		
253	1843	deliveryCourseCd	5143	6	text	1	0		0	235		
254	1843	deliveryCourseNm	599	7	text	1	0		0	300		
255	1843	supplyCustomerCd	591	8	text	1	0		0	235		
256	1843	supplyCustomerNm	593	9	text	1	0		0	300		
257	1843	delivCustomerCd	548	10	text	1	0		0	235		
258	1843	delivCustomerNm	556	11	text	1	0		0	300		
259	1843	delivAddress1	3134	12	text	1	0		0	300		
260	1843	delivAddress2	3135	13	text	1	0		0	300		
261	1843	delivAddress3	3136	14	text	1	0		0	300		
262	1843	delivZipCd	557	15	text	1	0		0	235		
263	1843	carrierTraceNum	3137	16	text	1	0		0	235		
264	1843	bolOutFlg	2968	17	text	1	0		0	300		
265	1843	bolOutNm	2969	18	text	1	0		0	300		
266	1843	bolOutDt	3129	19	datetime	1	0		0	300		
267	1843	userNm	3130	20	text	1	0		0	300		
268	1843	pickingHId	447	21	text	0	0		0	300		
269	1868	treceivePlanH.receivePlanDt	4929	1	date	1	0		0	180		
270	1868	receiveSts	5737	2	text	1	0		0	180		
271	1868	fcFlg	4942	3	text	1	0		0	180		
272	1868	supplierrcvno	4959	4	text	1	0		0	180		
273	1868	fromaddress1	5701	5	text	1	0		0	180		
274	1868	carrierno	5686	6	text	1	0		0	180		
275	1868	carriername	5738	7	text	1	0		0	180		
276	1868	ttrrcvdetail.itemcd	4918	8	text	1	0		0	180		
277	1868	ttrrcvdetail.mproduct.productAbbr	4960	9	text	1	0		0	180		
278	1868	ttrrcvdetail.lot1	4920	10	text	1	0		0	180		
279	1868	ttrrcvdetail.lot4	4922	11	date	1	0		0	180		
280	1868	ttrrcvdetail.lot3	4921	12	text	1	0		0	180		
281	1868	ttrrcvdetail.lot2	4961	13	text	1	0		0	180		
282	1868	expectQty1Style1	5739	14	number	1	0		0	180		
283	1868	expectQty1Style2	5740	15	number	1	0		0	180		
284	1868	expectQty1Style3	5741	16	number	1	0		0	180		
285	1868	symbolQty1Style1	5742	17	number	1	0		0	180		
286	1868	symbolQty1Style2	5743	18	number	1	0		0	180		
287	1868	symbolQty1Style3	5744	19	number	1	0		0	180		
288	1868	receiveQty1Style1	5745	20	number	1	0		0	180		
289	1868	receiveQty1Style2	5746	21	number	1	0		0	180		
290	1868	receiveQty1Style3	5747	22	number	1	0		0	180		
291	1868	otherrefno1	5715	23	text	1	0		0	180		
292	1868	fromphone	5748	24	text	1	0		0	180		
293	1868	fromfax	5749	25	text	1	0		0	180		
294	1868	carrierwbno	5703	26	text	1	0		0	180		
295	1868	carriersname	5704	27	text	1	0		0	180		
296	1868	treceivePlanH.mcenter.centerCd	4971	28	text	0	0		0	180		
297	1868	treceivePlanH.mcenter.centerAbbr	4972	29	text	0	0		0	180		
298	1868	treceivePlanH.mclient.clientCd	297	30	text	0	0		0	180		
299	1868	treceivePlanH.mclient.clientAbbr	303	31	text	0	0		0	180		
300	1883	printedflgNm	5272	1	text	1	0		0	180		
301	1883	listkbnNm	525	2	text	1	0		0	180		
302	1883	pickbatchkey	5275	3	text	1	0		0	180		
303	1883	workallocateid	5276	4	text	1	0		0	180		
304	1883	pickdate	5277	5	datetime	1	0		0	180		
305	1883	printedflg	5272	6	text	0	0		0	180		
306	1883	listkbn	5278	7	text	0	0		0	180		
307	1883	centerCd	4971	8	text	0	0		0	180		
308	1883	centerAbbr	4972	9	text	0	0		0	180		
309	1883	clientCd	297	10	text	0	0		0	180		
310	1883	clientAbbr	303	11	text	0	0		0	180		
311	1894	mbox.boxCd	290	1	dropdown	1	1		1	245		
312	1901	boxGrpCd	1542	1	text	1	0		0	250		
313	1901	boxGrpNm	1543	2	text	1	0		0	300		
314	1901	mbox.boxCd	1544	3	text	1	0		0	200		
315	1901	mbox.boxNm	1545	4	text	1	0		0	170		
