FUNC_ID	CLASS_CD	METHOD_CD	FUNC_CD	FUNC_NM
27	ReceiveInspectionLabelInputResource	send	send	HT入荷検品(汎用)送信
28	ReceiveInspectionLimitDtResource	send	send	HT入荷検品(詳細期限日)送信
29	ReceiveInspectionLotLimitDtResource	send	send	HT入荷検品(詳細)送信
30	ReceiveInspectionLotResource	send	send	HT入荷検品(詳細ロット)送信
31	ReceiveInspectionQtyResource	send	send	HT入荷検品(数量)送信
32	ReceiveInspectionWorkNoResource	send	send	HT入荷検品(伝票No)送信
33	ReceiveNoPlanInspectionJanResource	send	send	HT予定無し入荷(ｿｰｽCD)送信
34	ReceiveNoPlanInspectionLabelInputResource	send	send	HT予定無し入荷(汎用)送信
35	ReceiveNoPlanInspectionLimitDtResource	send	send	HT予定無し入荷(詳細期限日)送信
36	ReceiveNoPlanInspectionLocResource	send	send	HT予定無し入荷(ロケ)送信
37	ReceiveNoPlanInspectionLotLimitDtResource	send	send	HT予定無し入荷(詳細)送信
38	ReceiveNoPlanInspectionLotResource	send	send	HT予定無し入荷(詳細ロット)送信
39	ReceiveNoPlanInspectionQtyResource	send	send	HT予定無し入荷(数量)送信
40	ReceiveNoPlanInspectionSupplierResource	send	send	HT予定無し入荷(仕入先)送信
41	ReceiveStoreJanCdResource	send	send	HT入庫格納(ｿｰｽCD)送信
42	ReceiveStoreKariLocResource	send	send	HT入庫格納(仮ロケ)送信
43	ReceiveStoreLabelNoResource	send	send	HT入庫格納(入庫No)送信
44	ReceiveStoreLimitDtResource	send	send	HT入庫格納(詳細期限日)送信
45	ReceiveStoreLocResource	send	send	HT入庫格納(ロケ)送信
46	ReceiveStoreLotLimitDtResource	send	send	HT入庫格納(詳細)送信
47	ReceiveStoreLotResource	send	send	HT入庫格納(詳細ロット)送信
48	ReceiveStoreQtyResource	send	send	HT入庫格納(数量)送信
49	SerialReceiveInspectionJanCdResource	send	send	HTｼﾘｱﾙ登入(ｿｰｽCD)送信
50	SerialReceiveInspectionRangeResource	send	send	HTｼﾘｱﾙ登入(範囲)送信
51	SerialReceiveInspectionSerialNoResource	send	send	HTｼﾘｱﾙ登入(ｼﾘｱﾙ)送信
52	SerialReceiveInspectionSerialNoResource	range	range	HTｼﾘｱﾙ登入(ｼﾘｱﾙ)範囲
53	SerialReceiveInspectionWorkNoResource	send	send	HTｼﾘｱﾙ登入(伝票No)送信
54	SerialShippingInspectionJanCdResource	send	send	HTｼﾘｱﾙ登出(ｿｰｽCD)送信
55	SerialShippingInspectionRangeResource	send	send	HTｼﾘｱﾙ登出(範囲)送信
56	SerialShippingInspectionSerialNoResource	send	send	HTｼﾘｱﾙ登出(ｼﾘｱﾙ)送信
57	SerialShippingInspectionSerialNoResource	range	range	HTｼﾘｱﾙ登出(ｼﾘｱﾙ)範囲
58	SerialShippingInspectionWorkNoResource	send	send	HTｼﾘｱﾙ登出(伝票No)送信
59	ShippingCasePickingJanCdResource	send	send	HTケースピック(ソースCD)送信
60	ShippingCasePickingJanCdResource	input	input	HTケースピック(ソースCD)入力
61	ShippingCasePickingNoResource	send	send	HTケースピック(No)送信
62	ShippingCasePickingQtyResource	send	send	HTケースピック(数量))送信
63	ShippingCasePickingStoreLabelNoResource	send	send	HTケースピック(入庫No)送信
64	ShippingCasePickingStoreLabelNoResource	input	input	HTケースピック(入庫No)入力
65	ShippingLoadingInspectionNoResource	input	input	HT積込検品(No)入力
66	ShippingNoPackingBoxResource	send	send	HTバラ出荷検品(箱登録)送信
67	ShippingNoPackingJanCdResource	input	input	HTバラ出荷検品(ｿｰｽCD)入力
68	ShippingNoPackingQtyResource	input	input	HTバラ出荷検品(数量)入力
69	ShippingNoPackingQtyResource	send	send	HTバラ出荷検品(数量)送信
70	ShippingNoPackingWorkNoResource	send	send	HTバラ出荷検品(No)送信
71	ShippingPickingProductJanCdResource	input	input	HTオーダピック(ｿｰｽCD)入力
72	ShippingPickingProductQtyResource	send	send	HTオーダピック(数量)送信
73	ShippingPickingProductWorkNoResource	send	send	HTオーダピック(No)送信
74	ShippingPickingQtyResource	send	send	HTオーダピック(数量)送信
75	ShippingPickingStoreLabelNoResource	send	send	HTオーダピック(入庫No)送信
76	ShippingPickingWorkNoResource	send	send	HTオーダピック(No)送信
77	SingleRowShippingNoPackingBoxResource	send	send	HT単行出荷検品(箱登録)送信
78	SingleRowShippingNoPackingJanCdResource	send	send	HT単行出荷検品(ｿｰｽCD)送信
79	SingleRowShippingNoPackingNoResource	send	send	HT単行出荷検品(No)送信
80	SingleRowShippingNoPackingProductResource	send	send	HT単行出荷検品(商品)送信
81	StockMoveInJanCdResource	send	send	HT移動入庫(ｿｰｽCD)送信
82	StockMoveInLabelNoResource	send	send	HT移動入庫(入庫ラベルNo)送信
83	StockMoveInLocResource	send	send	HT移動入庫(ロケ)送信
84	StockMoveOutInLocResource	send	send	HT移動入庫(ロケ)送信
85	StockMoveOutJanCdResource	send	send	HT移動出庫(ソースCD)送信
86	StockMoveOutLabelNoResource	send	send	HT移動出庫(入庫ラベルNo.)送信
87	StockMoveOutLocResource	send	send	HT移動出庫(ロケ)送信
88	StockMoveOutQtyResource	send	send	HT移動出庫(数量)送信
89	StockSearchConditionResource	send	send	HT在庫検索送信
