DICT_CULTURE_ID	DICT_ID	CULTURE_ID	DICT_NM
220	74	1	帳票レイアウト属性2
221	74	2	Document Layout Properties 2
222	74	3	报表版面设计属性2
223	75	1	帳票レイアウト属性3
224	75	2	Document Layout Properties 3
225	75	3	报表版面设计属性3
226	76	1	帳票レイアウト属性4
227	76	2	Document Layout Properties 4
228	76	3	报表版面设计属性4
229	77	1	帳票レイアウト属性5
230	77	2	Document Layout Properties 5
231	77	3	报表版面设计属性5
232	78	1	プリンタ属性
233	78	2	Printer Properties
234	78	3	打印机属性
235	79	1	再印刷有無
236	79	2	Is Reprint
237	79	3	再打印有无
238	80	1	印刷日時
239	80	2	Print Date
240	80	3	打印日时
241	81	1	印刷日(From)
242	81	2	Print Date (From)
243	81	3	打印日(From)
244	82	1	印刷時間(From)
245	82	2	Print Time (From)
246	82	3	打印时间(From)
247	83	1	印刷日(To)
248	83	2	Print Date (To)
249	83	3	打印日(To)
250	84	1	印刷時間(To)
251	84	2	Print Time (To)
252	84	3	打印时间(To)
253	85	1	再印刷No.
254	85	2	Reprint No.
255	85	3	再打印No.
256	86	1	印刷結果
257	86	2	Print Result
258	86	3	打印结果
259	87	1	再印刷
260	87	2	Reprint
261	87	3	再打印
262	88	1	プリンタ表示可否
263	88	2	Printer Visibility
264	88	3	打印机显示可否
265	89	1	トレイ表示可否
266	89	2	Tray Active
267	89	3	支架显示可否
268	90	1	システムパスワード
269	90	2	System Password
270	90	3	系统密码
271	91	1	自動印刷プリンタ設定
272	91	2	Auto-Print Settings
273	91	3	自动印刷打印设定
274	92	1	自動印刷プリンタ設定(一覧)
275	92	2	Auto-Print Settings List
276	92	3	自动印刷打印设定(一览)
277	93	1	自動印刷プリンタ設定グリッド
278	93	2	Auto-Print Settings Grid
279	93	3	自动印刷打印设定列表
280	94	1	自動印刷プリンタ設定(編集)
281	94	2	Auto-Print Settings (Edit)
282	94	3	自动印刷打印设定(编辑)
283	95	1	自動印刷プリンタ一括変更(一覧)
284	95	2	Auto-Print Bulk Update List
285	95	3	自动印刷打印一括变更(一览)
286	96	1	自動印刷プリンタ一括変更(編集)
287	96	2	Auto-Print Bulk Update (Edit)
288	96	3	自动印刷打印一括变更(编辑)
289	97	1	自動印刷プリンタ一括変更グリッド
290	97	2	Auto-Print Bulk Update Grid
291	97	3	自动印刷打印一括变更列表
292	98	1	プリンタ名称(変更前)
293	98	2	Previous Printer Name
294	98	3	打印机名称(变更前)
295	99	1	トレイ名称(変更前)
296	99	2	Previous Tray Name
297	99	3	支架名称(变更前)
298	100	1	プリンタ名称(変更後)
299	100	2	New Printer Name
300	100	3	打印机名称(变更后)
301	101	1	トレイ名称(変更後)
302	101	2	New Tray Name
303	101	3	支架名称(变更后)
304	102	1	自動印刷対象レイアウト
305	102	2	Auto-Print Layout
306	102	3	自动印刷对象版面设计
307	103	1	キュー登録日時
