辞書マスタ	HT辞書マスタ	辞書マスタ	辞書マスタ	辞書検証マスタ	辞書検証マスタ	辞書検証マスタ	辞書検証マスタ	辞書検証マスタ	辞書検証マスタ	辞書検証マスタ	辞書検証マスタ	辞書カルチャマスタ	辞書カルチャマスタ	HT辞書カルチャマスタ	辞書カルチャマスタ	辞書カルチャマスタ	HT辞書カルチャマスタ	辞書カルチャマスタ	辞書カルチャマスタ	HT辞書カルチャマスタ
DICT_NM	DICT_NM	DATA_TYPE	SYSTEM_TYPE	INPUT_LIMIT	LIMIT_MESSAGE_CD	MIN_CHARS	MAX_CHARS	MIN_NUMBER	MAX_NUMBER	INTEGER_LENGTH	DECIMAL_LENGTH	CULTURE_CD	DICT_NM	DICT_NM	CULTURE_CD	DICT_NM	DICT_NM	CULTURE_CD	DICT_NM	DICT_NM
郵便番号ID			wms	^[0-9]*$	inputLimitCheckNumericOnlyError					15	0	ja-JP	郵便番号ID		en-US	Postal Code ID		zh-CN	邮政编码ID	
予定ロケーションCD		text	wms	^[0-9a-zA-Z]*$	inputLimitCheckAlphabetAndNumericOnlyError		10					ja-JP	予定ロケーションCD		en-US	Plan Location Code		zh-CN	预定库位CD	
予定ロケーションID			wms	^[0-9]*$	inputLimitCheckNumericOnlyError					15	0	ja-JP	予定ロケーションID		en-US	Plan Location ID		zh-CN	预定库位ID	
予定ロット		text	wms	^[ -~｡-ﾟ]*$	inputLimitCheckHalfWidthOnlyError		10					ja-JP	予定ロット		en-US	Plan Lot No.		zh-CN	预定批号	
予定期限日			wms				10					ja-JP	予定期限日		en-US	Plan Expiration Date		zh-CN	预定期限日	
予定仕入先CD		text	wms	^[0-9a-zA-Z\-]*$	inputLimitCheckAlphabetAndNumericAndHyphenOnlyError		10					ja-JP	予定仕入先CD		en-US	Plan Supplier Code		zh-CN	预定供应商CD	
予定仕入先ID			wms	^[0-9]*$	inputLimitCheckNumericOnlyError					15	0	ja-JP	予定仕入先ID		en-US	Plan Supplier ID		zh-CN	预定供应商ID	
予定数	予数	number	wms					0.001		7	3	ja-JP	予定数	予数	en-US	Plan Qty	Plan Qty	zh-CN	预定数	预定数
予定倉庫CD			wms	^[0-9a-zA-Z\-]*$	inputLimitCheckAlphabetAndNumericAndHyphenOnlyError		5					ja-JP	予定倉庫CD		en-US	Plan Warehouse Code		zh-CN	预定仓库CD	
予定倉庫ID			wms	^[0-9]*$	inputLimitCheckNumericOnlyError					15	0	ja-JP	予定倉庫ID		en-US	Plan Warehouse ID		zh-CN	预定仓库ID	
予定入庫ラベルNo.			wms	^[0-9a-zA-Z\-]*$	inputLimitCheckAlphabetAndNumericAndHyphenOnlyError		11					ja-JP	予定入庫ラベルNo.		en-US	Plan Receiving No.		zh-CN	预定入库标签No.	
予定預託CD			wms	^[0-9a-zA-Z\-]*$	inputLimitCheckAlphabetAndNumericAndHyphenOnlyError		10					ja-JP	予定預託CD		en-US	Plan Consignment Code		zh-CN	预定寄售CD	
予定預託ID			wms	^[0-9]*$	inputLimitCheckNumericOnlyError					15	0	ja-JP	予定預託ID		en-US	Plan Consignment ID		zh-CN	预定寄售ID	
預託CD			wms	^[0-9a-zA-Z\-]*$	inputLimitCheckAlphabetAndNumericAndHyphenOnlyError		10					ja-JP	預託CD		en-US	Consignment Code		zh-CN	寄售CD	
預託ID			wms	^[0-9]*$	inputLimitCheckNumericOnlyError					15	0	ja-JP	預託ID		en-US	Consignment ID		zh-CN	寄售ID	
預託名称			wms				50					ja-JP	預託名称		en-US	Consignment Name		zh-CN	寄售名称	
容積(mm3)		number	wms					0		10	3	ja-JP	容積(mm3)		en-US	Volume (mm3)		zh-CN	容积(mm3)	
用紙情報			wms				30					ja-JP	用紙情報		en-US	Paper Information		zh-CN	用纸信息	
用紙名称			wms				240					ja-JP	用紙名称		en-US	Paper Name		zh-CN	用纸名称	
履歴日			wms				10					ja-JP	履歴日		en-US	History Date		zh-CN	履历日	
履歴保持期間		number	wms	^[0-9]*$	inputLimitCheckNumericOnlyError		5	0		5	0	ja-JP	履歴保持期間		en-US	History Retention Period		zh-CN	履历保留时间	
列CD		text	wms	^[!-~]*$	inputLimitCheckAlphabetAndNumericAndSymbolOnlyError		100					ja-JP	列CD		en-US	Column Code		zh-CN	列CD	
列ID			wms	^[0-9]*$	inputLimitCheckNumericOnlyError					15	0	ja-JP	列ID		en-US	Column ID		zh-CN	列ID	
列型			wms				30					ja-JP	列型		en-US	Column Type		zh-CN	列型	
列権限ID			wms	^[0-9]*$	inputLimitCheckNumericOnlyError					15	0	ja-JP	列権限ID		en-US	Column Authorization ID		zh-CN	列权限ID	
列順序		number	wms	^[0-9]*$	inputLimitCheckNumericOnlyError			0		5	0	ja-JP	列順序		en-US	Column Sequence		zh-CN	列顺序	
列幅		number	wms	^[0-9]*$	inputLimitCheckNumericOnlyError			0		4	0	ja-JP	列幅		en-US	Column Width		zh-CN	列宽	
10日残引当可能数			wms	^[0-9]*$	inputLimitCheckNumericOnlyError					7	0	ja-JP	10日残引当可能数		en-US	Available Qty (10th)		zh-CN	10日剩余分配可能数	
10日残引当済数			wms	^[0-9]*$	inputLimitCheckNumericOnlyError					7	0	ja-JP	10日残引当済数		en-US	Allocated Qty (10th)		zh-CN	10日剩余分配完数	
10日残作業中数			wms	^[0-9]*$	inputLimitCheckNumericOnlyError					7	0	ja-JP	10日残作業中数		en-US	Work In Progress Qty (10th)		zh-CN	10日剩余作业中数	
15日残引当可能数			wms	^[0-9]*$	inputLimitCheckNumericOnlyError					7	0	ja-JP	15日残引当可能数		en-US	Available Qty (15th)		zh-CN	15日剩余分配可能数	
15日残引当済数			wms	^[0-9]*$	inputLimitCheckNumericOnlyError					7	0	ja-JP	15日残引当済数		en-US	Allocated Qty (15th)		zh-CN	15日剩余分配完数	
15日残作業中数			wms	^[0-9]*$	inputLimitCheckNumericOnlyError					7	0	ja-JP	15日残作業中数		en-US	Work In Progress Qty (15th)		zh-CN	15日剩余作业中数	
20日残引当可能数			wms	^[0-9]*$	inputLimitCheckNumericOnlyError					7	0	ja-JP	20日残引当可能数		en-US	Available Qty (20th)		zh-CN	20日剩余分配可能数	
20日残引当済数			wms	^[0-9]*$	inputLimitCheckNumericOnlyError					7	0	ja-JP	20日残引当済数		en-US	Allocated Qty (20th)		zh-CN	20日剩余分配完数	
20日残作業中数			wms	^[0-9]*$	inputLimitCheckNumericOnlyError					7	0	ja-JP	20日残作業中数		en-US	Work In Progress Qty (20th)		zh-CN	20日剩余作业中数	
末日残引当可能数			wms	^[0-9]*$	inputLimitCheckNumericOnlyError					7	0	ja-JP	末日残引当可能数		en-US	Available Qty (Month End)		zh-CN	末日剩余分配可能数	
末日残引当済数			wms	^[0-9]*$	inputLimitCheckNumericOnlyError					7	0	ja-JP	末日残引当済数		en-US	Allocated Qty (Month End)		zh-CN	末日剩余分配完数	
末日残作業中数			wms	^[0-9]*$	inputLimitCheckNumericOnlyError					7	0	ja-JP	末日残作業中数		en-US	Work In Progress (Month End)		zh-CN	末日剩余作业中数	
処理日時		datetime	wms									ja-JP	処理日時		en-US	Process Time		zh-CN	处理日时	
予定顧客入荷指示No.		text	wms	^[0-9a-zA-Z\-]*$	inputLimitCheckAlphabetAndNumericAndHyphenOnlyError		20					ja-JP	予定顧客入荷指示No.		en-US	Plan Customer Rcv. No.		zh-CN	预定顾客入库指示No.	
予定顧客発注No.		text	wms	^[0-9a-zA-Z\-]*$	inputLimitCheckAlphabetAndNumericAndHyphenOnlyError		20					ja-JP	予定顧客発注No.		en-US	Plan Customer P.O. No.		zh-CN	预定顾客订货No.	
社内入荷センタ			wms									ja-JP	社内入荷センタ		en-US	Internal Receiving Center		zh-CN	自社收货中心	
社内入荷センタ名称			wms									ja-JP	社内入荷センタ名称		en-US	Internal Receiving Center Name		zh-CN	自社收货中心名称	
元/着払/代引			wms									ja-JP	元/着払/代引		en-US	Prepaid / Collect / COD		zh-CN	预付/货到付款/代引	
逆さま厳禁区分			wms									ja-JP	逆さま厳禁区分		en-US	Keep Upright		zh-CN	颠倒严禁区分	
下積み厳禁区分			wms									ja-JP	下積み厳禁区分		en-US	Do Not Stack		zh-CN	下堆放严禁区分	
在庫ケース数		number	wms	^[0-9]*$	inputLimitCheckNumericOnlyError					7	0	ja-JP	在庫ケース数		en-US	Case Qty		zh-CN	在库箱数	
在庫ピース数		number	wms	^[0-9]*$	inputLimitCheckNumericOnlyError					7	0	ja-JP	在庫ピース数		en-US	Piece Qty		zh-CN	在库单件数	
在庫総数		number	wms	^[0-9]*$	inputLimitCheckNumericOnlyError					7	0	ja-JP	在庫総数		en-US	Total Qty		zh-CN	在库总数	
期限切れ在庫数		number	wms							7	0	ja-JP	期限切れ在庫数		en-US	Expired Inventory Qty		zh-CN	截止日在库数	
期限切れ総在庫数		number	wms							7	0	ja-JP	期限切れ総在庫数		en-US	Total Expired Qty		zh-CN	截止日总在库数	
次回入荷予定日		date	wms									ja-JP	次回入荷予定日		en-US	Next Scheduled Receiving Date		zh-CN	下次入库预定日	
次回入荷予定数		number	wms									ja-JP	次回入荷予定数		en-US	Next Scheduled Receiving Qty		zh-CN	下次入库预定数	
ロケーションバーコード LabelSeal(44piece/A4)			wms									ja-JP	ロケーションバーコード LabelSeal(44piece/A4)		en-US	Location Barcode Label		zh-CN	库位条形码 LabelSeal(44piece/A4)	
入庫日管理フラグ			wms									ja-JP	入庫日管理フラグ		en-US	Put-away Date Flag		zh-CN	入库日管理标识	
定期補充単位区分			wms									ja-JP	定期補充単位区分		en-US	Replenishment Unit Class		zh-CN	定期补充单位区分	
緊急補充単位区分			wms									ja-JP	緊急補充単位区分		en-US	Urgent Replen. Unit Class		zh-CN	紧急补充单位区分	
緊急補充ロケ割付区分			wms									ja-JP	緊急補充ロケ割付区分		en-US	Urgent Replen. Location Allotment Class		zh-CN	紧急补充库位分割区分	
梱包計算処理区分			wms									ja-JP	梱包計算処理区分		en-US	Packing Calculation Process Class		zh-CN	打包计算处理区分	
詰め込み方			wms									ja-JP	詰め込み方		en-US	Packaging Process		zh-CN	填充方法	
商品毎別梱包			wms									ja-JP	商品毎別梱包		en-US	Packaging Per Item		zh-CN	商品别打包	
梱包ステータス			wms									ja-JP	梱包ステータス		en-US	Packing Status		zh-CN	打包状态	
混載フラグ			wms									ja-JP	混載フラグ		en-US	Mixed Load Flag		zh-CN	混载标识	
マルチピック計算区分			wms									ja-JP	マルチピック計算区分		en-US	Multi-Picking Calculation Class		zh-CN	多功能计算区分	
削除データ表示			wms									ja-JP	削除データ表示		en-US	Deleted Data		zh-CN	删除数据显示	
期限日出荷制限フラグ			wms									ja-JP	期限日出荷制限フラグ		en-US	Expiration Date Shipping Restriction Flag		zh-CN	期限日出货限制标志	
ソースCD/商品CD		text	wms	^[!-~]*$	inputLimitCheckAlphabetAndNumericAndSymbolOnlyError		30					ja-JP	ソースCD/商品CD		en-US	Source Code/Item Code		zh-CN	代码CD/商品CD	
緊急補充ゾーン補充荷姿			wms									ja-JP	緊急補充ゾーン補充荷姿		en-US	Urgent Replen. Zone UOM		zh-CN	紧急补充区域补充荷姿	
緊急補充ゾーン補充荷姿CD		text	wms	^[0-9a-zA-Z]*$	inputLimitCheckAlphabetAndNumericOnlyError		30					ja-JP	緊急補充ゾーン補充荷姿CD		en-US	Urgent Replen. Zone UOM Code		zh-CN	紧急补充区域补充荷姿CD	
緊急補充ゾーン補充荷姿名称			wms									ja-JP	緊急補充ゾーン補充荷姿名称		en-US	Urgent Replen. Zone UOM Name		zh-CN	紧急补充区域补充荷姿名称	
補充商品CD未設定			wms									ja-JP	補充商品CD未設定		en-US	Replen. Item Code Not Setup		zh-CN	补充商品CD未设定	
HT/SDケースピック使用フラグCD		text	wms	^[0-9]*$	inputLimitCheckNumericOnlyError		1					ja-JP	HT/SDケースピック使用フラグCD		en-US	HT/SD Case Pick Flag Code		zh-CN	HT/SD箱散件使用标签CD	
HT/SDケースピック使用フラグ名称		text	wms				3					ja-JP	HT/SDケースピック使用フラグ名称		en-US	HT/SD Case Pick Flag Name		zh-CN	HT/SD箱散件使用标签名称	
ケースピックフラグ			wms									ja-JP	ケースピックフラグ		en-US	Case Pick Flag		zh-CN	箱散件标签	
ケースピックフラグCD		text	wms	^[0-9]*$	inputLimitCheckNumericOnlyError		1					ja-JP	ケースピックフラグCD		en-US	Case Pick Flag Code		zh-CN	箱散件标签CD	
ケースピックフラグ名称		text	wms				7					ja-JP	ケースピックフラグ名称		en-US	Case Pick Flag Name		zh-CN	箱散件标签名称	
ピッキング			wms									ja-JP	ピッキング		en-US	Picking		zh-CN	选货	
倉庫マスタメンテナンス			wms									ja-JP	倉庫マスタメンテナンス		en-US	Warehouse Master		zh-CN	仓库主表维护	
ロケーションマスタ検索			wms									ja-JP	ロケーションマスタ検索		en-US	Location Master Search		zh-CN	库位主表检索	
商品マスタメンテナンス(一覧)			wms									ja-JP	商品マスタメンテナンス(一覧)		en-US	Item Master		zh-CN	商品主表维护(一览)	
商品マスタメンテナンス(編集)			wms									ja-JP	商品マスタメンテナンス(編集)		en-US	Item Master Maintenance		zh-CN	商品主表维护(编辑)	
新規			wms									ja-JP	新規		en-US	New		zh-CN	新建	
修正			wms									ja-JP	修正		en-US	Update		zh-CN	修正	
郵便番号マスタメンテナンス(一覧)			wms									ja-JP	郵便番号マスタメンテナンス(一覧)		en-US	Postal Code Master		zh-CN	邮政编码主表维护(一览)	
ロケーションマスタメンテナンス(一覧)			wms									ja-JP	ロケーションマスタメンテナンス(一覧)		en-US	Location Master		zh-CN	库位主表维护(一览)	
配送コースマスタメンテナンス(一覧)			wms									ja-JP	配送コースマスタメンテナンス(一覧)		en-US	Carrier Service Level Master		zh-CN	配送方案主表维护(一览)	
納品先マスタ検索			wms									ja-JP	納品先マスタ検索		en-US	Ship-To Master Search		zh-CN	收货方主表检索	
納品先略称		text	wms				50					ja-JP	納品先略称		en-US	Ship-To Abbrev.		zh-CN	收货方略称	
荷材マスタメンテナンス			wms									ja-JP	梱包箱情報マスタメンテナンス		en-US	Box Master		zh-CN	荷材主表维护	
荷主マスタメンテナンス			wms									ja-JP	荷主マスタメンテナンス		en-US	Shipper Master		zh-CN	货主主表维护	
仕入先マスタ検索			wms									ja-JP	仕入先マスタ検索		en-US	Supplier Master Search		zh-CN	供应商主表检索	
仕入先略称		text	wms				15					ja-JP	仕入先略称		en-US	Supplier Abbrev.		zh-CN	收货方略称	
センタマスタメンテナンス(一覧)			wms									ja-JP	センタマスタメンテナンス(一覧)		en-US	Center Master		zh-CN	中心主表维护(一览)	
配送コースマスタ検索			wms									ja-JP	配送コースマスタ検索		en-US	Carrier Service Level Master Search		zh-CN	配送方案主表检索	
取引先マスタメンテナンス(一覧)			wms									ja-JP	取引先マスタメンテナンス(一覧)		en-US	Account Master		zh-CN	客户主表维护(一览)	
取引先マスタメンテナンス(編集)			wms									ja-JP	取引先マスタメンテナンス(編集)		en-US	Account Master Maintenance		zh-CN	客户主表维护(编辑)	
商品マスタ検索			wms									ja-JP	商品マスタ検索		en-US	Item Master Search		zh-CN	商品主表检索	
配送コースマスタメンテナンス(編集)			wms									ja-JP	配送コースマスタメンテナンス(編集)		en-US	Carrier Service Level Master Maintenance		zh-CN	配送方案主表维护(编辑)	
行追加			wms									ja-JP	行追加		en-US	Add Line		zh-CN	行追加	
行削除			wms									ja-JP	行削除		en-US	Delete Line		zh-CN	行删除	
登録			wms									ja-JP	登録		en-US	Submit		zh-CN	登录	
運送業者			wms									ja-JP	運送業者		en-US	Carrier		zh-CN	运输代理店	
ロット管理フラグ名称		text	wms				5					ja-JP	ロット管理フラグ名称		en-US	Lot Management Flag Name		zh-CN	批号管理标签名称	
ロット逆転防止フラグ名称		text	wms				5					ja-JP	ロット逆転防止フラグ名称		en-US	Lot FIFO Check Flag Name		zh-CN	批号逆转防止标签名称	
期限日管理フラグ名称		text	wms				5					ja-JP	期限日管理フラグ名称		en-US	Expiration Date Control Flag Name		zh-CN	期限日管理标签名称	
期限日逆転防止フラグ名称		text	wms				5					ja-JP	期限日逆転防止フラグ名称		en-US	Expiration Date Check Flag Name		zh-CN	期限日逆转防止标签名称	
入庫No.マージ区分名称		text	wms				12					ja-JP	入庫No.マージ区分名称		en-US	Put-away No. Merge Class Name		zh-CN	入库No.合并区分名称	
出荷停止フラグ名称		text	wms				4					ja-JP	出荷停止フラグ名称		en-US	Shipping Hold Flag Name		zh-CN	出库停止标示名称	
ロット管理フラグC			wms									ja-JP	ロット管理フラグC		en-US	Lot Management Flag C		zh-CN	批号管理标签C	
Excel出力			wms									ja-JP	Excel出力		en-US	Excel Export		zh-CN	Excel输出	
センタマスタメンテナンス(編集)			wms									ja-JP	センタマスタメンテナンス(編集)		en-US	Center Master Maintenance		zh-CN	中心主表维护(编辑)	
入荷予定一括取込			wms									ja-JP	入荷予定一括取込		en-US	Receiving Plan Upload		zh-CN	入库预定全部读入	
ロケーションバーコードリスト発行			wms									ja-JP	ロケーションバーコードリスト発行		en-US	Print Location Barcode List		zh-CN	库位条形码清单发行	
倉庫			wms									ja-JP	倉庫		en-US	Warehouse		zh-CN	仓库	
ゾーン		text	wms	^[0-9a-zA-Z\-]*$	inputLimitCheckAlphabetAndNumericAndHyphenOnlyError		3					ja-JP	ゾーン		en-US	Zone		zh-CN	区域	
ロケーションCD(From)		text	wms	^[0-9a-zA-Z\-]*$	inputLimitCheckAlphabetAndNumericAndHyphenOnlyError		12					ja-JP	ロケーションCD(From)		en-US	Location Code (From)		zh-CN	库位CD(From)	
ロケーションCD(To)		text	wms	^[0-9a-zA-Z\-]*$	inputLimitCheckAlphabetAndNumericAndHyphenOnlyError		12					ja-JP	ロケーションCD(To)		en-US	Location Code (To)		zh-CN	库位CD(To)	
発行			wms									ja-JP	発行		en-US	Print		zh-CN	发行	
社内入荷センタCD		text	wms				5					ja-JP	社内入荷センタCD		en-US	Internal Receiving Center Code		zh-CN	自社收货中心CD	
荷主取引先CD		text	wms				10					ja-JP	荷主取引先CD		en-US	Shipper Customer Code		zh-CN	货主客户CD	
ケース入数		number	wms					0		5	0	ja-JP	ケース入数		en-US	Qty in Case		zh-CN	箱入数	
検索			wms									ja-JP	検索		en-US	Search		zh-CN	检索	
選択	選択		wms									ja-JP	選択	選択	en-US	Select	Select	zh-CN	选择	选择
閉じる			wms									ja-JP	閉じる		en-US	Close		zh-CN	关闭	
荷主	荷主		wms									ja-JP	荷主	荷主	en-US	Shipper	Shipper	zh-CN	货主	货主
運送業者マスタメンテナンス(一覧)			wms									ja-JP	運送業者マスタメンテナンス(一覧)		en-US	Carrier Master		zh-CN	运输代理店主表维护（一览）	
Excelアップロード			wms									ja-JP	Excelアップロード		en-US	Excel Upload		zh-CN	Excel上传	
処理区分	処理区分		wms									ja-JP	処理区分	処理区分	en-US	Process Class	Process Class	zh-CN	处理区分	处理区分
処区	処区		wms									ja-JP	処区	処区	en-US	Proc. Cls	Proc Cls	zh-CN	住区	住区
予定倉庫			wms									ja-JP	予定倉庫		en-US	Plan Warehouse		zh-CN	预定仓库	
大口事業所フラグCD		text	wms				1					ja-JP	大口事業所フラグCD		en-US	Business Entity Flag Code		zh-CN	大宗营业所标签CD	
大口事業所フラグ名称		text	wms				6					ja-JP	大口事業所フラグ名称		en-US	Business Entity Flag Name		zh-CN	大宗营业所标签名称	
ロケーション種別名称		text	wms				9					ja-JP	ロケーション種別名称		en-US	Location Type Name		zh-CN	库位种别名称	
引当禁止フラグ名称		text	wms				4					ja-JP	引当禁止フラグ名称		en-US	Unallocatable Flag Name		zh-CN	分配禁止标签名称	
ロケーション種別CD		text	wms				2					ja-JP	ロケーション種別CD		en-US	Location Type Code		zh-CN	库位种别CD	
引当禁止フラグCD		text	wms				1					ja-JP	引当禁止フラグCD		en-US	Unallocatable Flag Code		zh-CN	分配禁止标签CD	
ロット管理フラグCD		text	wms				1					ja-JP	ロット管理フラグCD		en-US	Lot Management Flag Code		zh-CN	批号管理标签CD	
ロット逆転防止フラグCD		text	wms				1					ja-JP	ロット逆転防止フラグCD		en-US	Lot FIFO Check Flag Code		zh-CN	批号逆转防止标签CD	
期限日管理フラグCD		text	wms				1					ja-JP	期限日管理フラグCD		en-US	Expiration Date Control Flag Code		zh-CN	期限日管理标签CD	
期限日逆転防止フラグCD		text	wms				1					ja-JP	期限日逆転防止フラグCD		en-US	Expiration Date Check Flag Code		zh-CN	期限日逆转防止标签CD	
入庫No.マージ区分CD		text	wms				2					ja-JP	入庫No.マージ区分CD		en-US	Put-away No. Merge Class Code		zh-CN	入库No.合并区分CD	
出荷停止フラグCD		text	wms				1					ja-JP	出荷停止フラグCD		en-US	Shipping Hold Flag Code		zh-CN	出库停止标识CD	
納品先フラグCD		text	wms				1					ja-JP	納品先フラグCD		en-US	Ship-To Flag Code		zh-CN	收货方标识CD	
納品先フラグ名称		text	wms				3					ja-JP	納品先フラグ名称		en-US	Ship-To Flag Name		zh-CN	收货方标识名称	
仕入先フラグCD		text	wms				1					ja-JP	仕入先フラグCD		en-US	Supplier Flag Code		zh-CN	收货方标识CD	
仕入先フラグ名称		text	wms				3					ja-JP	仕入先フラグ名称		en-US	Supplier Flag Name		zh-CN	收货方标识名称	
ワンタイムフラグCD		text	wms				1					ja-JP	ワンタイムフラグCD		en-US	One Time Flag Code		zh-CN	ONETIME标签CD	
ワンタイムフラグ名称		text	wms				3					ja-JP	ワンタイムフラグ名称		en-US	One Time Flag Name		zh-CN	ONETIME标签名称	
預託先フラグCD		text	wms				1					ja-JP	預託先フラグCD		en-US	Consignment Flag Code		zh-CN	寄售方标签CD	
預託先フラグ名称		text	wms				3					ja-JP	預託先フラグ名称		en-US	Consignment Flag Name		zh-CN	寄售方标签名称	
No.		number	wms					0		5	0	ja-JP	No.		en-US	No.		zh-CN	No.	
ファイル取込			wms									ja-JP	ファイル取込		en-US	File Upload		zh-CN	文件读入	
預託	預託		wms									ja-JP	預託	預託	en-US	Consignment	Cons	zh-CN	寄售	寄售
在庫区分	在庫区分		wms									ja-JP	在庫区分	在庫区分	en-US	Inventory Class	Inventory Class	zh-CN	在库区分	在库区分
在区	在区		wms									ja-JP	在区	在区	en-US	Inv. Class	Inv Cls	zh-CN	在区	在区
商品	商品		wms									ja-JP	商品	商品	en-US	Item	Item	zh-CN	商品	商品
比較条件差異			wms									ja-JP	比較条件差異		en-US	Print Condition (Location or Item)		zh-CN	比较条件差异	
ピース以上			wms	^[0-9]*$	inputLimitCheckNumericOnlyError			1		15	0	ja-JP	ピース以上		en-US	Piece Qty Greater Than		zh-CN	单件以上	
ケース以上			wms	^[0-9]*$	inputLimitCheckNumericOnlyError			1		15	0	ja-JP	ケース以上		en-US	Cases Qty Greater Than		zh-CN	箱以上	
棚卸差異リスト発行			wms									ja-JP	棚卸差異リスト発行		en-US	Print Inventory Discrepancy List		zh-CN	盘点差异清单发行	
入荷予定日(From)		date	wms									ja-JP	入荷予定日(From)		en-US	Receiving ETA (From)		zh-CN	入库预定日(From)	
入荷予定日(To)		date	wms									ja-JP	入荷予定日(To)		en-US	Receiving ETA (To)		zh-CN	入库预定日(To)	
発行状況			wms									ja-JP	発行状況		en-US	Print Condition		zh-CN	发行状况	
入荷予定入力			wms									ja-JP	入荷予定入力		en-US	Receiving Pre-Entry		zh-CN	入库预定输入	
入荷実績入力(予定なし)			wms									ja-JP	入荷実績入力(予定なし)		en-US	Quick Receiving		zh-CN	入库实绩输入(无预定)	
入荷日			wms									ja-JP	入荷日		en-US	Receiving Date		zh-CN	入库日	
ロケーション	ロケ	text	wms	^[0-9a-zA-Z]*$	inputLimitCheckAlphabetAndNumericOnlyError		10					ja-JP	ロケーション	ロケ	en-US	Location	Location	zh-CN	库位	库位
入庫ケース数		number	wms	^[0-9]*$	inputLimitCheckNumericOnlyError			0		7	0	ja-JP	入庫ケース数		en-US	Put-away Case Qty		zh-CN	入库箱数	
入庫バラ数		number	wms	^[0-9]*$	inputLimitCheckNumericOnlyError			0		7	0	ja-JP	入庫バラ数		en-US	Put-away Piece Qty		zh-CN	入库单件数	
総入庫数			wms	^[0-9]*$	inputLimitCheckNumericOnlyError			0		15	0	ja-JP	総入庫数		en-US	Total Put-away Qty		zh-CN	总入库数	
入荷取消			wms									ja-JP	入荷取消		en-US	Cancel Receiving		zh-CN	入库取消	
伝票別入荷一覧			wms									ja-JP	伝票別入荷一覧		en-US	Receiving Inquiry (Order)		zh-CN	单据别收货一览	
入荷削除			wms									ja-JP	入荷削除		en-US	Deleted		zh-CN	入库删除	
入荷予定リスト			wms									ja-JP	入荷予定リスト		en-US	Receiving Plan List		zh-CN	入库预定清单	
商品別入荷予定一覧			wms									ja-JP	商品別入荷予定一覧		en-US	Receiving Inquiry (Item)		zh-CN	商品别入库预定一览	
入荷予定削除			wms									ja-JP	入荷予定削除		en-US	Cancel Receiving Plan		zh-CN	入库预定删除	
入荷予定修正			wms									ja-JP	入荷予定修正		en-US	Modify Receiving Plan		zh-CN	入库预定修正	
エラーチェック			wms									ja-JP	エラーチェック		en-US	Error Check		zh-CN	错误检查	
入荷実績入力			wms									ja-JP	入荷実績入力		en-US	Receiving Entry		zh-CN	入库实绩输入	
入荷ステータス名称		text	wms				4					ja-JP	入荷ステータス名称		en-US	Rcv. Status Name		zh-CN	入库状态名称	
入荷納品ステータス名称		text	wms				3					ja-JP	入荷納品ステータス名称		en-US	Overall Rcv. Status Name		zh-CN	入库纳品状态名称	
明細行数			wms									ja-JP	明細行数		en-US	Line Details		zh-CN	明细行数	
予定数合計			wms									ja-JP	予定数合計		en-US	Total Plan Qty		zh-CN	预定数合计	
入庫数合計			wms									ja-JP	入庫数合計		en-US	Total Put-away Qty		zh-CN	入库数合计	
エラーメッセージ			wms									ja-JP	エラーメッセージ		en-US	Error Message		zh-CN	错误信息	
入荷未完了一覧			wms									ja-JP	入荷未完了一覧		en-US	Receiving Inquiry (Partial)		zh-CN	入库未完了一览	
入荷日(From)			wms									ja-JP	入荷日(From)		en-US	Receiving Date (From)		zh-CN	入库日(From)	
入荷日(To)			wms									ja-JP	入荷日(To)		en-US	Receiving Date (To)		zh-CN	入库日(To)	
指示			wms									ja-JP	指示		en-US	Instruction		zh-CN	指示	
元WMS入荷伝票No.		text	wms				13					ja-JP	元WMS入荷伝票No.		en-US	Original Receiving ID		zh-CN	原WMS入库单据No.	
処理区分名称		text	wms				60					ja-JP	処理区分名称		en-US	Process Name		zh-CN	处理区分名称	
総予定数	総予定数		wms									ja-JP	総予定数	総予定数	en-US	Total Plan Qty	Total Plan Qty	zh-CN	总预定数	总预定数
予定ケース数		number	wms							7	0	ja-JP	予定ケース数		en-US	Plan Case Qty		zh-CN	预定箱数	
予定バラ数		number	wms							7	0	ja-JP	予定バラ数		en-US	Plan Piece Qty		zh-CN	预定单件数	
入荷予定リスト発行			wms									ja-JP	入荷予定リスト発行		en-US	Print Receiving Plan List		zh-CN	入库预定清单发行	
削除	削除		wms									ja-JP	削除	削除	en-US	Delete	Delete	zh-CN	删除	删除
配送コース別出荷一覧			wms									ja-JP	配送コース別出荷一覧		en-US	Shipping Inquiry (Carrier Service Level)		zh-CN	配送方案别出库一览	
出荷日(To)			wms									ja-JP	出荷日(To)		en-US	Ship Date (To)		zh-CN	出库日(To)	
出荷日(From)			wms									ja-JP	出荷日(From)		en-US	Ship Date (From)		zh-CN	出库日(From)	
未出荷全件			wms									ja-JP	未出荷全件		en-US	Show Unshipped Only		zh-CN	未出库全件	
納品先件数			wms									ja-JP	納品先件数		en-US	Number of Ship-To		zh-CN	接受预定方件数	
出荷状況名称			wms									ja-JP	出荷状況名称		en-US	Shipping Status Name		zh-CN	出库状况名称	
伝票枚数			wms									ja-JP	伝票枚数		en-US	Number of Slips		zh-CN	单据张数	
