IDENTIFY	BUSINESS_NM	TABLE_NM	TABLE_PHYSICAL_NM	COLUMN_NM	COLUMN_PHYSICAL_NM	CLASS_CD
BASE	マスタ	パラメータマスタ	M_PARAM	欠品時出荷指示分離フラグ	STOCK_OUT_INST_SPLIT_FLG	STOCK_OUT_INST_SPLIT_FLG
BASE	マスタ	パラメータマスタ	M_PARAM	最適ピック提案マルチピック摘み取りリスト出力フラグ	PIC_MTHD_RCMD_MLT_PL_OUT	PIC_MTHD_RCMD_LIST_OUT
BASE	マスタ	パラメータマスタ	M_PARAM	最適ピック提案単行ピック種蒔きリスト出力フラグ	PIC_MTHD_RCMD_SPL_SL_OUT	PIC_MTHD_RCMD_LIST_OUT
BASE	マスタ	パラメータマスタ	M_PARAM	エラー音再生フラグ	ERROR_SOUND_PLAY_FLG	SOUND_PLAY_FLG
BASE	マスタ	パラメータマスタ	M_PARAM	警告音再生フラグ	WARN_SOUND_PLAY_FLG	SOUND_PLAY_FLG
BASE	マスタ	パラメータマスタ	M_PARAM	検品音再生フラグ	INSP_SOUND_PLAY_FLG	SOUND_PLAY_FLG
BASE	マスタ	パラメータマスタ	M_PARAM	検品完了音再生フラグ	INSP_COMP_SOUND_PLAY_FLG	SOUND_PLAY_FLG
BASE	マスタ	処理区分マスタ	M_PROCESS_TYPE	入荷フラグ	RECEIVE_FLG	RECEIVE_FLG
BASE	マスタ	処理区分マスタ	M_PROCESS_TYPE	出荷フラグ	SHIPPING_FLG	SHIPPING_FLG
BASE	マスタ	処理区分マスタ	M_PROCESS_TYPE	在庫移動フラグ	STOCK_ADJUST_FLG	STOCK_ADJUST_FLG
BASE	マスタ	商品マスタ	M_PRODUCT	削除フラグ	DEL_FLG	DEL_FLG
BASE	マスタ	商品マスタ	M_PRODUCT	期限日管理フラグ	LIMIT_DT_MANAG_FLG	LIMIT_DT_MANAG_FLG
BASE	マスタ	商品マスタ	M_PRODUCT	期限日逆転防止フラグ	LIMIT_DT_REVERSE_FLG	LIMIT_DT_REVERSE_FLG
BASE	マスタ	商品マスタ	M_PRODUCT	ロット管理フラグ	LOT_MANAG_FLG	LOT_MANAG_FLG
BASE	マスタ	商品マスタ	M_PRODUCT	ロット逆転防止フラグ	LOT_REVERSE_FLG	LOT_REVERSE_FLG
BASE	マスタ	商品マスタ	M_PRODUCT	入庫No.マージ区分	MERGE_CLS	MERGE_CLS
BASE	マスタ	商品マスタ	M_PRODUCT	出荷停止フラグ	SHIPPING_STOP_FLG	SHIPPING_STOP_FLG
BASE	マスタ	商品マスタ	M_PRODUCT	Freight Class	FREIGHT_CLS	FREIGHT_CLS
BASE	マスタ	商品荷姿マスタ	M_PRODUCT_SHAPE	削除フラグ	DEL_FLG	DEL_FLG
BASE	マスタ	セット品親マスタ	M_SET_PARENT	削除フラグ	DEL_FLG	DEL_FLG
BASE	マスタ	荷姿マスタ	M_SHAPE	削除フラグ	DEL_FLG	DEL_FLG
BASE	マスタ	荷姿グループマスタ	M_SHAPE_GRP	小数有無フラグ	DECIMAL_EXIST_FLG	DECIMAL_EXIST_FLG
BASE	マスタ	荷姿グループマスタ	M_SHAPE_GRP	削除フラグ	DEL_FLG	DEL_FLG
BASE	マスタ	荷姿グループ明細マスタ	M_SHAPE_GRP_DTL	ケースピッキング対象	CASE_PICK_FLG	CASE_PICK_FLG
BASE	マスタ	荷姿グループ明細マスタ	M_SHAPE_GRP_DTL	緊急補充ゾーン補充荷姿	EM_REPLENISH_SHAPE_FLG	EM_REPLENISH_SHAPE_FLG
BASE	マスタ	荷姿グループ明細マスタ	M_SHAPE_GRP_DTL	削除フラグ	DEL_FLG	DEL_FLG
BASE	マスタ	在庫区分マスタ	M_STOCK_TYPE	期限日出荷制限フラグ	REVERSE_VALID_FLG	REVERSE_VALID_FLG
BASE	マスタ	倉庫マスタ	M_WAREHOUSE	削除フラグ	DEL_FLG	DEL_FLG
BASE	マスタ	倉庫マスタ	M_WAREHOUSE	外貨フラグ	FOREIGN_FLG	FOREIGN_FLG
BASE	ハンディ	ＷＥＢＨＴ管理マスタ	M_WEB_HT_INFO	削除フラグ	DEL_FLG	DEL_FLG
BASE	マスタ	郵便番号マスタ	M_ZIP	フラグ６	FLG6	CODE_FLG
BASE	マスタ	郵便番号マスタ	M_ZIP	フラグ５	FLG5	CODE_TYPE
BASE	マスタ	郵便番号マスタ	M_ZIP	大口事業所フラグ	COMPANY_FLG	COMPANY_FLG
BASE	マスタ	郵便番号マスタ	M_ZIP	削除フラグ	DEL_FLG	DEL_FLG
BASE	マスタ	郵便番号マスタ	M_ZIP	変更理由	REASON_TYPE	REASON_TYPE
BASE	マスタ	郵便番号マスタ	M_ZIP	修正コード	UPD_CD	UPD_CD
BASE	マスタ	郵便番号マスタ	M_ZIP	更新区分	UPD_TYPE	UPD_TYPE
BASE	マスタ	郵便番号マスタ	M_ZIP	フラグ１	FLG1	ZIP_FLG
BASE	マスタ	郵便番号マスタ	M_ZIP	フラグ２	FLG2	ZIP_FLG
BASE	マスタ	郵便番号マスタ	M_ZIP	フラグ３	FLG3	ZIP_FLG
BASE	マスタ	郵便番号マスタ	M_ZIP	フラグ４	FLG4	ZIP_FLG
BASE	マスタ	ゾーンマスタ	M_ZONE	削除フラグ	DEL_FLG	DEL_FLG
BASE	トランザクション出荷系	引当指示ボディ	T_ALLOC_INST_B	期限日管理フラグ	LIMIT_DT_MANAG_FLG	LIMIT_DT_MANAG_FLG
BASE	トランザクション出荷系	引当指示ボディ	T_ALLOC_INST_B	期限日逆転防止フラグ	LIMIT_DT_REVERSE_FLG	LIMIT_DT_REVERSE_FLG
BASE	トランザクション出荷系	引当指示ボディ	T_ALLOC_INST_B	ロット管理フラグ	LOT_MANAG_FLG	LOT_MANAG_FLG
BASE	トランザクション出荷系	引当指示ヘッダ	T_ALLOC_INST_H	納品時間帯	DELIV_TZ	DELIV_TZ
