MENU_GRP_CD	DICT_NM	PARENT_MENU_GRP_CD	VIEW_ORDER	VISIBLE_TYPE	SCREEN_CD	DICT_NM	DICT_NM	URL_PATH	TARGET_WINDOW	VIEW_ORDER	DEL_FLG
RECEIVE	入庫管理		1	PC	CaseLabelPrint	ケースはり紙出力		#/wms/receive/CaseLabelPrint	0	7	0
RECEIVE	入庫管理		1	PC	ProductChange	銘柄組替登録		#/wms/receive/ProductChange	0	8	0
SHIPPING	出庫管理		2	PC	ShippingInstList	出庫予定一覧		#/wms/shipping/ShippingInstList	0	1	0
SHIPPING	出庫管理		2	PC	ShippingPlanInput	出庫指示入力		#/wms/shipping/ShippingPlanInput	0	2	0
SHIPPING	出庫管理		2	PC	BondedShippingRelationListPrint	保税出庫関連リスト出力		#/wms/shipping/BondedShippingRelationListPrint	0	3	0
SHIPPING	出庫管理		2	PC	PickingListRePrint	保税出庫関連リスト再出力		#/wms/shipping/PickingListRePrint	0	4	0
SHIPPING	出庫管理		2	PC	ShippingInstInfoList	出庫指図情報一覧		#/wms/shipping/ShippingInstInfoList	0	5	0
SHIPPING	出庫管理		2	PC	InternalDutyFreeShippingInst	国内免税 出庫予定確認		#/wms/shipping/InternalDutyFreeShippingInst	0	6	0
SHIPPING	出庫管理		2	PC	InternalDutyFreeFinalShippingLotInfo	国内免税 最終出庫ロット情報		#/wms/shipping/InternalDutyFreeFinalShippingLotInfo	0	7	0
SHIPPING	出庫管理		2	PC	ShippingConfirmList	出庫確定一覧		#/wms/shipping/ShippingConfirmList	0	8	0
TRIMALLOC	山出し管理		3	PC	AdvanceStockTransferInst	事前補充指示		#/wms/shipping/AdvanceStockTransferInst	0	1	0
TRIMALLOC	山出し管理		3	PC	StockTransferList	山出し処理		#/wms/shipping/StockTransferList	0	2	0
TRIMALLOC	山出し管理		3	PC	StockTransferQuantityAdjustment	山出し数量調整		#/wms/shipping/StockTransferQuantityAdjustment	0	3	0
TRIMALLOC	山出し管理		3	PC	CaseShippingWorkList	ケース単位出庫一覧		#/wms/shipping/CaseShippingWorkList	0	4	0
TRIMALLOC	山出し管理		3	PC	MonthlyDesignChangeInfoMaster	月替り・デザイン変更情報マスタ登録		#/wms/shipping/MonthlyDesignChangeInfoMaster	0	5	0
TRIMALLOC	山出し管理		3	PC	ReplenishStockTransferListPrint	融通山出し一覧		#/wms/shipping/ReplenishStockTransferListPrint	0	6	0
TRIMALLOC	山出し管理		3	PC	ReplenishInstConfirm	融通指示実行		#/wms/shipping/ReplenishInstConfirm	0	7	0
TRIMALLOC	山出し管理		3	PC	ReplenishInstBulkInput	融通指示一括登録		#/wms/shipping/ReplenishInstBulkInput	0	8	0
TRIMALLOC	山出し管理		3	PC	PackingList	さしず実績照会		#/wms/shipping/PackingList	0	9	0
STOCK	在庫管理		4	PC	InventoryCreate	在庫調査指示作成		#/wms/inventory/InventoryCreate	0	1	0
STOCK	在庫管理		4	PC	InstKeyList	在庫調査指示一覧		#/wms/inventory/InstKeyList	0	2	0
STOCK	在庫管理		4	PC	InventoryInput	在庫調査結果確認		#/wms/inventory/InventoryInput	0	3	0
STOCK	在庫管理		4	PC	StockCheck	国免在庫照合		#/wms/stock/StockCheck	0	4	0
STOCK	在庫管理		4	PC	InspectionResultList	検査結果一覧		#/wms/stock/InspectionResultList	0	5	0
STOCK	在庫管理		4	PC	InspectionResultInput	検査結果入力		#/wms/stock/InspectionResultInput	0	6	0
STOCK	在庫管理		4	PC	InventoryReportPrint	在庫調査関連リスト出力		#/wms/stock/InventoryReportPrint	0	7	0
STOCK	在庫管理		4	PC	ExcessOrDeficiencyHistoryListPrint	過不足履歴一覧		#/wms/stock/ExcessOrDeficiencyHistoryListPrint	0	8	0
STOCK	在庫管理		4	PC	ReverseListPrint	製造年月日逆転リスト出力		#/wms/stock/ReverseListPrint	0	9	0
STOCK	在庫管理		4	PC	StockList	在庫問合せ		#/wms/stock/StockList	0	10	0
STOCK	在庫管理		4	PC	StockInOutList	パレット移動履歴照会		#/wms/stock/StockInOutList	0	11	0
STOCK	在庫管理		4	PC	LotAttributePartialChange	ロット属性部分変更		#/wms/stock/LotAttributePartialChange	0	12	0
STOCK	在庫管理		4	PC	CardboardMoveHistory	段ボール移動履歴		#/wms/stock/CardboardMoveHistory	0	13	0
STOCK	在庫管理		4	PC	ShippingPalleteInfoInquiry	出庫パレット情報照会		#/wms/stock/ShippingPalleteInfoInquiry	0	14	0
STOCK	在庫管理		4	PC	StockListByLocation	拠点別在庫照会		#/wms/stock/StockListByLocation	0	15	0
STOCK	在庫管理		4	PC	StockListByLocationLotLocation	拠点別在庫照会(ロット×ロケーション)		#/wms/stock/StockListByLocationLotLocation	0	16	0
STOCK	在庫管理		4	PC	StockListByLocationCase	拠点別在庫照会(ケース別)		#/wms/stock/StockListByLocationCase	0	17	0
STOCK	在庫管理		4	PC	CardboardMoveHistory	段ボール移動履歴		#/wms/stock/CardboardMoveHistory	0	18	0
RETURNS	返品管理		5	PC	ReturnedSlipList	返品伝票一覧		#/wms/returns/ReturnedSlipList	0	1	0
RETURNS	返品管理		5	PC	ProductionDateListPrint	製造年月日一覧表出力		#/wms/returns/ProductionDateListPrint	0	2	0
RETURNS	返品管理		5	PC	NonconformityMonthlyCondition	不適品月次状況登録		#/wms/returns/NonconformityMonthlyCondition	0	3	0
RETURNS	返品管理		5	PC	NonconformityLabelPrint	不適品ラベル出力		#/wms/returns/NonconformityLabelPrint	0	4	0
RETURNS	返品管理		5	PC	DamagedItemResistration	り災品登録		#/wms/returns/DamagedItemResistration	0	5	0
SORTING	仕分場管理		6	PC	DirectionInstInput	方面指示入力		#/wms/stock/DirectionInstInput	0	1	0
SORTING	仕分場管理		6	PC	BlockSortingOrderSetting	方面指示入力（ブロック）		#/wms/stock/BlockSortingOrderSetting	0	2	0
SORTING	仕分場管理		6	PC	SortingPlaceStockAdjustment	スタート在庫修正		#/wms/stock/SortingPlaceStockAdjustment	0	3	0
SORTING	仕分場管理		6	PC	ShippingRelationListPrint	仕分関連リスト出力		#/wms/stock/ShippingRelationListPrint	0	4	0
SORTING	仕分場管理		6	PC	BuyingShopSearchListPrint	買受店検索リスト出力		#/wms/stock/BuyingShopSearchListPrint	0	5	0
SORTING	仕分場管理		6	PC	PickingListPrint	明細書・ラベル・残数リスト出力		#/wms/stock/PickingListPrint	0	6	0
SORTING	仕分場管理		6	PC	ReverseReplenishListPrint	逆転補充リスト出力		#/wms/stock/ReverseReplenishListPrint	0	7	0
SORTING	仕分場管理		6	PC	BetweenLinesDiffCheckList	ライン間開差確認		#/wms/stock/BetweenLinesDiffCheckList	0	8	0
SORTING	仕分場管理		6	PC	SortWorkConfirm	仕分作業完了登録		#/wms/stock/SortWorkConfirm	0	9	0
SORTING	仕分場管理		6	PC	DispatchRecordInput	配車実績入力		#/wms/shipping/DispatchRecordInput	0	10	0
SORTING	仕分場管理		6	PC	InventoryBulkUpdate	棚在庫メンテナンス  		#/wms/stock/InventoryBulkUpdate	0	11	0
SORTING	仕分場管理		6	PC	DirectionAttributeMasterList	方面属性マスタメンテナンス		#/wms/stock/DirectionAttributeMasterList	0	12	0
SORTING	仕分場管理		6	PC	ReplenishMagnificationMasterList	補充倍率マスタメンテナンス		#/wms/stock/ReplenishMagnificationMasterList	0	13	0
SORTING	仕分場管理		6	PC	SortingPlaceMasterList	仕分場構成マスタメンテナンス		#/wms/stock/SortingPlaceMasterList	0	14	0
SORTING	仕分場管理		6	PC	ProductCategoryList	銘柄カテゴリメンテナンス		#/wms/stock/ProductCategoryList	0	15	0
SORTING	仕分場管理		6	PC	BoxMaster	梱包箱情報マスタメンテナンス		#/wms/stock/BoxMaster	0	16	0
MASTER	マスタ		7	PC	UserMasterList	ユーザマスタメンテナンス		#/wms/master/UserMasterList	0	1	0
MASTER	マスタ		7	PC	CustomerMasterList	特約店マスタメンテナンス		#/wms/master/CustomerMasterList	0	2	0
MASTER	マスタ		7	PC	LocationMaster	ロケーションマスタメンテナンス		#/wms/master/LocationMaster	0	3	0
MASTER	マスタ		7	PC	CenterProductControlMasterList	拠点別銘柄制御マスタメンテナンス		#/wms/master/CenterProductControlMasterList	0	4	0
MASTER	マスタ		7	PC	InventoryDateMasterList	たな卸実施日マスタメンテナンス		#/wms/master/InventoryDateMasterList	0	5	0
MASTER	マスタ		7	PC	AllocateControlMasterList	引当制御マスタメンテナンス		#/wms/master/AllocateControlMasterList	0	6	0
MASTER	マスタ		7	PC	ReceiveProductChangeMaster	入庫銘柄組替マスタ登録		#/wms/master/ReceiveProductChangeMaster	0	7	0
MASTER	マスタ		7	PC	ReceiveDesignMasterList	受入デザインマスタメンテナンス		#/wms/master/ReceiveDesignMasterList	0	8	0
MASTER	マスタ		7	PC	ClientMaster	荷主マスタメンテナンス		#/wms/master/ClientMaster	0	9	0
