CLASS_CD	METHOD_CD	FUNC_CD	FUNC_NM	ARG_CD	DICT_NM	ARG_TYPE	NECESSARY
ShippingNoPackingQtyResource	input	input	HTバラ出荷検品(数量)入力	qty	検品数	number	1
ShippingNoPackingQtyResource	send	send	HTバラ出荷検品(数量)送信	qty	検品数	number	1
