CLASS_CD	METHOD_CD	FUNC_CD	FUNC_NM	ARG_CD	DICT_NM	ARG_TYPE	NECESSARY
ShippingCasePickingStoreLabelNoResource	send	send	HTケースピック(入庫No)送信	storeLabelNo	入庫ラベルNo.	text	1
ShippingCasePickingStoreLabelNoResource	input	input	HTケースピック(入庫No)入力	storeLabelNo	入庫ラベルNo.	text	1
