CLASS_CD	METHOD_CD	FUNC_CD	FUNC_NM	ARG_CD	DICT_NM	ARG_TYPE	NECESSARY
ReceiveInspecStoreLotLimitDtResource	send	send	HT入荷検品・格納(詳細)送信	lot	ロット	text	1
ReceiveInspecStoreLotLimitDtResource	send	send	HT入荷検品・格納(詳細)送信	limitDt	期限日	date	1
