CLASS_CD	METHOD_CD	FUNC_CD	FUNC_NM	ARG_CD	DICT_NM	ARG_TYPE	NECESSARY
SerialShippingInspectionSerialNoResource	send	send	HTｼﾘｱﾙ登出(ｼﾘｱﾙ)送信	serialNo	シリアルNo.	text	1
SerialShippingInspectionSerialNoResource	range	range	HTｼﾘｱﾙ登出(ｼﾘｱﾙ)範囲	serialNo	シリアルNo.	text	1
