CLASS_CD	METHOD_CD	FUNC_CD	FUNC_NM	ARG_CD	DICT_NM	ARG_TYPE	NECESSARY
SerialReceiveInspectionRangeResource	send	send	HTｼﾘｱﾙ登入(範囲)送信	serialNum	数量	number	0
SerialReceiveInspectionRangeResource	send	send	HTｼﾘｱﾙ登入(範囲)送信	endSerialNo	シリアルNo.	text	0
