CLASS_CD	METHOD_CD	FUNC_CD	FUNC_NM	ARG_CD	DICT_NM	ARG_TYPE	NECESSARY
ShippingCasePickingJanCdResource	send	send	HTケースピック(ソースCD)送信	janCd	ソースCD	text	1
ShippingCasePickingJanCdResource	input	input	HTケースピック(ソースCD)入力	janCd	ソースCD	text	1
