CLASS_CD	METHOD_CD	FUNC_CD	FUNC_NM	ARG_CD	DICT_NM	ARG_TYPE	NECESSARY
ReceiveInspectionWorkNoResource	send	send	HT入荷検品(伝票No)送信	htWorkNo	伝票No	text	1
ReceiveInspectionWorkNoResource	send	send	HT入荷検品(伝票No)送信	rcvLocCd	仮ロケ	text	1
