メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ
ecOrderCannotStatementOutTotalUnmatchError	error	wms	ja-JP	同梱する銘柄の合計金額が異なります。同梱銘柄はまとめて出力してください。（名寄せID：[0]）	同梱銘柄の合計額不一致									
ecOrderCannotUpdateExceptNotShippingError	error	wms	ja-JP	未出荷以外の受注データは修正できません。	未出荷以外									
ecOrderDuplicateOrderNoError	error	wms	ja-JP	EC受注データが既に取り込まれています。（受注番号：[0]）	重複取込み									
ecOrderNecessaryProductCdError	error	wms	ja-JP	銘柄CDが設定されていない行があるため、取込み出来ません。	銘柄CD必須エラー									
ecShippingTagDataOutputCannotInvoiceCreateNotShippingError	error	wms	ja-JP	未出荷またはキャンセルまたはエラー有または出庫指示削除の受注データは送り状データを作成できません。	未出荷またはキャンセルまたはエラー有									
ecShippingTagDataOutputCannotSelectDifferentCarrierToError	error	wms	ja-JP	異なる運送業者のデータが選択されているため、出力できません。	選択不可									
ecShippingTagDataOutputCannotSelectDifferentTagDataTypeError	error	wms	ja-JP	異なる送り状データ種別のデータが選択されているため、出力できません。	選択不可									
ediParameterClientCdOnlyInformation	info	wms	ja-JP	受信CD：[0] , 荷主CD：[1]	受信CD：[0] , 荷主CD：[1]									
ediParameterInformation	info	wms	ja-JP	受信CD：[0] , 拠店CD：[1] , 荷主CD：[2]	受信CD：[0] , 拠店CD：[1] , 荷主CD：[2]									
ediZipParameterInformation	info	wms	ja-JP	受信CD：[0] , 郵便番号種別：[1]										
emReplanishShapeFlgNoInputError	error	wms	ja-JP	緊急補充ゾーン補充荷姿が設定されていません。	未選択									
emReplanishShapeFlgPluralNotInputError	error	wms	ja-JP	緊急補充ゾーン補充荷姿は複数の荷姿を選択できません。	複数指定不可									
emergencyFlagNotFoundError	error	wms	ja-JP	緊急フラグが存在しません。	未存在									
emergencyFlgNotInputError	error	wms	ja-JP	緊急フラグを入力して下さい。	未入力									
emergencyReplenishmentLocationNotFoundInReplenishmentMasterError	error	wms	ja-JP	緊急補充移動先ロケーションが補充マスタに設定しません。	未存在									
errorCheckExecuteConfirmation	confirm	wms	ja-JP	エラーチェック処理を行います。宜しいですか？	実行確認									
errorCheckStartError	error	wms	ja-JP	未出荷またはエラー以外の出荷指示に対して、エラーチェックを実行できません。	起動									
errorDataCannotCopyError	error	wms	ja-JP	エラーデータを複製することはできません。	コピー不可									
errorDataFoundError	error	wms	ja-JP	エラーデータが含まれています。	エラーデータ存在									
errorDeleteStartError	error	wms	ja-JP	エラー以外は削除することはできません。	削除									
excelDownloadTitleInformation	info	wms	ja-JP	Excelダウンロード	Excelダウンロード									
excelReadSuccessConfirmation	confirm	wms	ja-JP	[0]行のデータを読み込みました。										
exclusiveControlError	error	wms	ja-JP	他のユーザが変更している可能性があります。内容を確認して下さい。	排他									
fixedPointBulkCheckInputDecimalLengthError	error	wms	ja-JP	定点は小数3桁以内を入力して下さい。	小数3桁以内									
fixedPointBulkCheckInputIntegerLengthError	error	wms	ja-JP	定点は整数7桁以内を入力して下さい。	整数7桁以内									
fixedPointCheckInputDecimalLengthError	error	wms	ja-JP	定点は小数[0]桁以内を入力して下さい。	小数[0]桁以内									
fixedPointCheckInputIntegerLengthError	error	wms	ja-JP	定点は整数[0]桁以内を入力して下さい。	整数[0]桁以内									
fixedPointCheckInputMinError	error	wms	ja-JP	定点は最小0以上を入力して下さい。	最小0以上									
fixedPointCheckNumericOnlyError	error	wms	ja-JP	定点 数値のみ	数値のみ									
flg1NotFoundError	error	wms	ja-JP	フラグ1（一町域が二以上の郵便番号で表される場合の表示）が存在しません。	未存在									
flg2NotFoundError	error	wms	ja-JP	フラグ2（小字毎に番地が起番されている町域の表示）が存在しません。	未存在									
flg3NotFoundError	error	wms	ja-JP	フラグ3（丁目を有する町域の場合の表示）が存在しません。	未存在									
flg4NotFoundError	error	wms	ja-JP	フラグ4（一つの郵便番号で二以上の町域を表す場合の表示）が存在しません。	未存在									
flg5NotFoundError	error	wms	ja-JP	フラグ5（個別番号の種別の表示）が存在しません。	未存在									
flg6NotFoundError	error	wms	ja-JP	フラグ6（複数番号の有無）が存在しません。	未存在									
forcedShipCompleteStartError	error	wms	ja-JP	出庫指示済またはピッキング済以外の出庫指示に対して、強制出荷の確定はできません。	起動									
foundExceptErrorDataError	error	wms	ja-JP	エラーデータ以外が含まれています。	存在									
foundInLocationMasterError	error	wms	ja-JP	ロケーションマスタに存在します。	存在									
foundInPartnerMasterError	error	wms	ja-JP	取引先マスタに既に登録されています。	存在									
foundInReplenishmentMasterError	error	wms	ja-JP	棚補充マスタに既に登録されています。	存在									
foundInstallmentReceiveDataError	error	wms	ja-JP	分納のデータが含まれています。	分納あり									
foundNotShipCompletedError	error	wms	ja-JP	出荷未確定のデータが含まれています。	出荷未確定									
foundShipCompletedError	error	wms	ja-JP	出荷確定済のデータが含まれています。	出荷確定済									
foundStoppedAllocToError	error	wms	ja-JP	引当禁止のロケーションが含まれています。	引当禁止中									
foundStoppedOrProductError	error	wms	ja-JP	出荷停止中、または引当不可の銘柄が含まれています。	出荷停止中									
foundStoppedShipToError	error	wms	ja-JP	出荷停止の取引先が含まれています。	出荷停止中									
foundStoppedShipToInformation	info	wms	ja-JP	出荷停止の取引先が含まれていました。出庫指示一覧で確認して下さい。	出荷停止中									
foundTagNotPrintedDataError	error	wms	ja-JP	荷札未発行のデータが含まれています。	荷札未発行									
getPackingInformationFailedInformation	info	wms	ja-JP	梱包情報取得時にエラーが発生しました。	失敗情報									
getShippingDateFailedInformation	info	wms	ja-JP	納品日の取得に失敗しました。	失敗情報									
grossWeightBulkCheckInputIntegerLengthError	error	wms	ja-JP	【在庫最小単位】銘柄総重量(g)は整数10桁以内を入力して下さい。	整数10桁以内									
grossWeightCheckInputDecimalLengthError	error	wms	ja-JP	【在庫最小単位】銘柄総重量(g) は小数3桁以内を入力して下さい。	小数3桁									
grossWeightCheckInputIntegerLengthError	error	wms	ja-JP	【在庫最小単位】総重量(g) は整数[0]桁以内を入力して下さい。	整数[0]桁以内									
grossWeightCheckInputMinError	error	wms	ja-JP	【在庫最小単位】銘柄総重量(g) は最小0以上を入力して下さい。	最小0以上									
grossWeightCheckNumericOnlyError	error	wms	ja-JP	【在庫最小単位】銘柄総重量(g)  数値のみ	数値のみ									
grossWeightInputDecimalLengthError	error	wms	ja-JP	総重量(g) は小数3桁以内を入力して下さい。	小数3桁以内									
grossWeightInputIntegerLengthError	error	wms	ja-JP	総重量(g)は整数[0]桁以内を入力して下さい。	整数[0]桁以内									
grossWeightInputRequestMinIsZeroError	error	wms	ja-JP	総重量(g)は最小0以上を入力して下さい。	最小0以上									
gtin14DuplicateError	error	wms	ja-JP	GTIN1が重複しています。	重複									
handlingAddressBulkInputCheckInputMaxError	error	wms	ja-JP	取扱局は最大20文字以下を入力して下さい。	最大20文字以下									
handlingAddressCheckFullWidthOnlyError	error	wms	ja-JP	取扱局 全角文字のみ	全角文字のみ									
handlingAddressCheckInputMaxError	error	wms	ja-JP	取扱局は最大[0]文字以下を入力して下さい。	最大[0]文字以下									
handyCarrierTraceNumLoadComplete	error	wms	ja-JP	対象の追跡Noは積込検品済です。		対象の追跡Noは積込検品済です。								
handyClientCenterAuthError	error	wms	ja-JP	選択した拠点ーと荷主を使う権限がありません。管理者に連絡してください。		選択した拠点ーと荷主を使う権限がありません。管理者に連絡してください。								
handyConfirmInterruptResume	error	wms	ja-JP	中断データが存在します再開しますか？		中断データが存在します再開しますか？								
handyCouldNotDeleteNotComplete	error	wms	ja-JP	検品未完了のデータは削除できません。		検品未完了のデータは削除できません。								
handyCustomerNotInShippingInstError	error	wms	ja-JP	納品先は出荷指示に存在しません。		納品先は出荷指示に存在しません。								
handyDataNotFoundError	error	wms	ja-JP	該当データが存在しません。		該当データが存在しません。								
handyDateError	error	wms	ja-JP	日付の入力が不正です(形式:YYYYMMDD)。		日付の入力が不正です(形式:YYYYMMDD)。								
handyDeliveryCourseCdDiffError	error	wms	ja-JP	配送コースCDが異なります。確認して下さい。		配送コースCDが異なります。確認して下さい。								
handyDepositNotSelectError	error	wms	ja-JP	預託が選択されていません。		預託が選択されていません。								
handyErrorSlipNo	error	wms	ja-JP	エラーの伝票Noです。		エラーの伝票Noです。								
handyInputBoxCdInfo	info	wms	ja-JP	使用する荷材CDを入力してください。		使用する荷材CDを入力してください。								
handyInventoryInputError	error	wms	ja-JP	該当の棚卸データは全て在庫調整済のため、棚卸入力できません。		該当の棚卸データは全て在庫調整済のため、棚卸入力できません。								
handyJanCdDifferError	error	wms	ja-JP	銘柄が異なります。		銘柄が異なります。								
handyJanCdInstNumOverError	error	wms	ja-JP	該当のアイテムの指示数を超えています。		該当のアイテムの指示数を超えています。								
handyJanCdNotInputError	error	wms	ja-JP	銘柄をスキャンして下さい。		銘柄をスキャンして下さい。								
handyJanCdQtyOverError	error	wms	ja-JP	該当のアイテムの数量を超えています。		該当のアイテムの数量を超えています。								
handyJanCdQtyShortageError	error	wms	ja-JP	該当のアイテムの数量が不足です。		該当のアイテムの数量が不足です。								
handyJanCdSpgQtyOverError	error	wms	ja-JP	該当のアイテムの残数を超えています。		該当のアイテムの残数を超えています。								
handyJanCompleteNoInput	error	wms	ja-JP	完了時、ソースCDをクリアして下さい。		完了時、ソースCDをクリアして下さい。								
handyLocNotNormal	error	wms	ja-JP	仮ロケは入庫仮ロケーションを入力してください。		仮ロケは入庫仮ロケーションを入力してください。								
handyLocOrJancdOrStockLabelNoNotBlankError	error	wms	ja-JP	ロケーションまたはソースCDまたは入庫ラベルNo.を入力してください。		ロケーションまたはソースCDまたは入庫ラベルNo.を入力してください。								
handyLoginAuthError	error	wms	ja-JP	ログインできません。再度入力してください。		ログインできません。再度入力してください。								
handyLoginCenterAuthError	error	wms	ja-JP	選択した拠点ーを使う権限がありません。管理者に連絡してください。		選択した拠点ーを使う権限がありません。管理者に連絡してください。								
handyLoginClientAuthError	error	wms	ja-JP	選択した荷主を使う権限がありません。管理者に連絡してください。		選択した荷主を使う権限がありません。管理者に連絡してください。								
handyMenuDefError	error	wms	ja-JP	メニューの設定を確認してください。		メニューの設定を確認してください。								
handyNoStockCount	error	wms	ja-JP	棚卸データ未作成。		棚卸データ未作成。								
handyOutlocInlocSameError	error	wms	ja-JP	出庫ロケと入庫ロケが同一です。		出庫ロケと入庫ロケが同一です。								
handyPickingWorkNoDeleted	error	wms	ja-JP	対象の出庫作業Noが削除されました。		対象の出庫作業Noが削除されました。								
handyPickingWorkNoInputError	error	wms	ja-JP	出荷梱包Noを入力して下さい。		出荷梱包Noを入力して下さい。								
handyPrinterAlreadyRegisterError	error	wms	ja-JP	すでに登録されています。		すでに登録されています。								
handyPrinterSelectPrinterGroupNotSet	error	wms	ja-JP	プリンタグループを設定していません。		プリンタグループを設定していません。								
handyPrinterSelectPrinterNotSet	error	wms	ja-JP	プリンタを設定していません。		プリンタを設定していません。								
handyPrinterSelectReportLayoutNotSet	error	wms	ja-JP	帳票レイアウトを設定していません。		帳票レイアウトを設定していません。								
handyPrinterSelectTrayNotSet	error	wms	ja-JP	トレイを設定していません。		トレイを設定していません。								
handyProcessTypeNotSelectError	error	wms	ja-JP	処理区分が選択されていません。		処理区分が選択されていません。								
handyQtyCompleteNoInput	error	wms	ja-JP	完了時、数量をクリアして下さい。		完了時、数量をクリアして下さい。								
handyQtyMustGreaterThenOne	error	wms	ja-JP	数量は1以上で入力して下さい。		数量は1以上で入力して下さい。								
handyReceiveNoPlanNotInput	error	wms	ja-JP	予定無し入荷が行われていません。		予定無し入荷が行われていません。								
handyReceiveNotInput	error	wms	ja-JP	検品が行われていません。		検品が行われていません。								
handyReceiveQtyOverError	error	wms	ja-JP	検品数が予定数を超えています。		検品数が予定数を超えています。								
handyReceiveStoreJanNotFoundError	error	wms	ja-JP	該当のソースCD/銘柄CDが入庫実績データに存在しません。		該当のソースCD/銘柄CDが入庫実績データに存在しません。								
handyReceiveStoreJanQtyZeroError	error	wms	ja-JP	該当のソースCD/銘柄CDの入庫数が0です。		該当のソースCD/銘柄CDの入庫数が0です。								
handyReceiveStoreJanStockNotFoundError	error	wms	ja-JP	該当のソースCD/銘柄CDで取得した入庫実績データから仮ロケに入荷した在庫データが存在しません。		該当のソースCD/銘柄CDで取得した入庫実績データから仮ロケに入荷した在庫データが存在しません。								
handyReceiveStoreJanStockQtyZeroError	error	wms	ja-JP	該当のソースCD/銘柄CDの仮ロケに入荷した在庫データの在庫数が0です。		該当のソースCD/銘柄CDの仮ロケに入荷した在庫データの在庫数が0です。								
handyReceiveStoreJanStoredError	error	wms	ja-JP	該当のソースCD/銘柄CDが全て格納済です。		該当のソースCD/銘柄CDが全て格納済です。								
handyReceiveStoreKariLocStockNotFoundError	error	wms	ja-JP	該当の仮ロケに入荷した在庫データが存在しません。		該当の仮ロケに入荷した在庫データが存在しません。								
handyReceiveStoreLabelStockNotFoundError	error	wms	ja-JP	該当のラベルNOに入荷した在庫データ（仮ロケ）が存在しません。		該当のラベルNOに入荷した在庫データ（仮ロケ）が存在しません。								
handyReceiveStoreLabelStockQtyZeroError	error	wms	ja-JP	該当のラベルNOに入荷した在庫データの在庫数が0です。		該当のラベルNOに入荷した在庫データの在庫数が0です。								
handyReceiveStoreLimitDtNotFoundError	error	wms	ja-JP	該当の期限日が入庫実績データに存在しません。		該当の期限日が入庫実績データに存在しません。								
handyReceiveStoreLimitDtQtyZeroError	error	wms	ja-JP	該当の期限日の入庫数が0です。		該当の期限日の入庫数が0です。								
handyReceiveStoreLimitDtStockNotFoundError	error	wms	ja-JP	該当の期限日で取得した入庫実績データから仮ロケに入荷した在庫データが存在しません。		該当の期限日で取得した入庫実績データから仮ロケに入荷した在庫データが存在しません。								
handyReceiveStoreLimitDtStockQtyZeroError	error	wms	ja-JP	該当の期限日の仮ロケに入荷した在庫データの在庫数が0です。		該当の期限日の仮ロケに入荷した在庫データの在庫数が0です。								
handyReceiveStoreLimitDtStoredError	error	wms	ja-JP	該当の期限日が全て格納済です。		該当の期限日が全て格納済です。								
handyReceiveStoreLocNormal	error	wms	ja-JP	ロケは通常ロケーションを入力してください。		ロケは通常ロケーションを入力してください。								
handyReceiveStoreLotLimitDtNotFoundError	error	wms	ja-JP	該当のロット、期限日が入庫実績データに存在しません。		該当のロット、期限日が入庫実績データに存在しません。								
handyReceiveStoreLotLimitDtQtyZeroError	error	wms	ja-JP	該当のロット、期限日の入庫数が0です。		該当のロット、期限日の入庫数が0です。								
handyReceiveStoreLotLimitDtStockNotFoundError	error	wms	ja-JP	該当のロット、期限日で取得した入庫実績データから仮ロケに入荷した在庫データが存在しません。		該当のロット、期限日で取得した入庫実績データから仮ロケに入荷した在庫データが存在しません。								
handyReceiveStoreLotLimitDtStockQtyZeroError	error	wms	ja-JP	該当のロット、期限日の仮ロケに入荷した在庫データの在庫数が0です。		該当のロット、期限日の仮ロケに入荷した在庫データの在庫数が0です。								
handyReceiveStoreLotLimitDtStoredError	error	wms	ja-JP	該当のロット、期限日が全て格納済です。		該当のロット、期限日が全て格納済です。								
handyReceiveStoreLotNotFoundError	error	wms	ja-JP	該当のロットが入庫実績データに存在しません。		該当のロットが入庫実績データに存在しません。								
handyReceiveStoreLotQtyZeroError	error	wms	ja-JP	該当のロットの入庫数が0です。		該当のロットの入庫数が0です。								
handyReceiveStoreLotStockNotFoundError	error	wms	ja-JP	該当のロットで取得した入庫実績データから仮ロケに入荷した在庫データが存在しません。		該当のロットで取得した入庫実績データから仮ロケに入荷した在庫データが存在しません。								
handyReceiveStoreLotStockQtyZeroError	error	wms	ja-JP	該当のロットの仮ロケに入荷した在庫データの在庫数が0です。		該当のロットの仮ロケに入荷した在庫データの在庫数が0です。								
handyReceiveStoreLotStoredError	error	wms	ja-JP	該当のロットが全て格納済です。		該当のロットが全て格納済です。								
handyReceiveStoreQtyError	error	wms	ja-JP	入荷数を超えて格納はできません。		入荷数を超えて格納はできません。								
handyReceiveStoreWorkNoNotFoundError	error	wms	ja-JP	該当の伝票No.が入庫実績データに存在しません。		該当の伝票No.が入庫実績データに存在しません。								
handyReceiveStoreWorkNoQtyZeroError	error	wms	ja-JP	該当の伝票No.の入庫数が0です。		該当の伝票No.の入庫数が0です。								
handyReceiveStoreWorkNoStockNotFoundError	error	wms	ja-JP	該当の伝票No.で取得した入庫実績データから仮ロケに入荷した在庫データが存在しません。		該当の伝票No.で取得した入庫実績データから仮ロケに入荷した在庫データが存在しません。								
handyReceiveStoreWorkNoStockQtyZeroError	error	wms	ja-JP	該当の伝票No.の仮ロケに入荷した在庫データの在庫数が0です。		該当の伝票No.の仮ロケに入荷した在庫データの在庫数が0です。								
handyReceiveStoreWorkNoStoredError	error	wms	ja-JP	該当の伝票No.が全て格納済です。		該当の伝票No.が全て格納済です。								
handySessionTimeout	error	wms	ja-JP	セッションが切断されました。再度ログインしてください。		セッションが切断されました。再度ログインしてください。								
handySessionTimeout1	error	wms	ja-JP	セッションが切断されました。		セッションが切断されました。								
handySessionTimeout2	error	wms	ja-JP	再度ログインしてください。		再度ログインしてください。								
handyShippingPackingCasePickingNoForceFixed	error	wms	ja-JP	対象のケースピッキングNo.は強制確定済です。		対象のケースピッキングNo.は強制確定済です。								
handyShippingPackingComplete	error	wms	ja-JP	データはすべて検品済です。		データはすべて検品済です。								
handyShippingPackingForceFixed	error	wms	ja-JP	対象の出庫作業No.は強制確定済です。		対象の出庫作業No.は強制確定済です。								
handyShippingPackingNoAllComplete	error	wms	ja-JP	対象の出荷梱包No.はすべて検品済です。		対象の出荷梱包No.はすべて検品済です。								
handyShippingPackingNoDeleted	error	wms	ja-JP	対象の出荷梱包No.が削除されました。		対象の出荷梱包No.が削除されました。								
handyShippingPackingNoForceFixed	error	wms	ja-JP	対象の出荷梱包No.は強制確定済です。		対象の出荷梱包No.は強制確定済です。								
handyShippingPackingNoLoadComplete	error	wms	ja-JP	対象の梱包Noは積込検品済です。		対象の梱包Noは積込検品済です。								
handyShippingPackingNotComplete	error	wms	ja-JP	未検品データが存在します。		未検品データが存在します。								
handyShippingPackingWorkNoAllComplete	error	wms	ja-JP	対象の出庫作業No.はすべて検品済です。		対象の出庫作業No.はすべて検品済です。								
handyShippingPackingWorkNoComplete	error	wms	ja-JP	対象の出庫作業No.は検品済です。		対象の出庫作業No.は検品済です。								
handyShippingPickingAlready	error	wms	ja-JP	該当データが既にピック済です。		該当データが既にピック済です。								
handyShippingPickingCasePickingNoAllComplete	error	wms	ja-JP	対象のケースピッキングNo.はすべてピッキング済です。		対象のケースピッキングNo.はすべてピッキング済です。								
handyShippingPickingCasePickingNoDeleted	error	wms	ja-JP	対象のケースピッキングNo.は削除されています。		対象のケースピッキングNo.は削除されています。								
handyShippingPickingWorkNoAllComplete	error	wms	ja-JP	対象の出庫作業No.はすべてピッキング済です。		対象の出庫作業No.はすべてピッキング済です。								
handySlipNoDeleted	error	wms	ja-JP	対象の伝票が削除されました。		対象の伝票が削除されました。								
handySpgQtyOnsComplete	error	wms	ja-JP	該当の銘柄は検品済です。		該当の銘柄は検品済です。								
handySpgQtyOnsOverError	error	wms	ja-JP	該当の銘柄は検品数を超えています。		該当の銘柄は検品数を超えています。								
handyStockLabelMoveComplete	error	wms	ja-JP	該当のラベルNO移動が全て完了しました		該当のラベルNO移動が全て完了しました								
handyStockMoveComplete	error	wms	ja-JP	該当銘柄はすべて移動完了しました。		該当銘柄はすべて移動完了しました。								
handyStockTypeFlagNotFoundError	error	wms	ja-JP	在庫区分マスタに在庫区分が存在しません。		在庫区分マスタに在庫区分が存在しません。								
handyStockTypeNotSelectError	error	wms	ja-JP	在庫区分が選択されていません。		在庫区分が選択されていません。								
handyStoreLabelNoQtyOverError	error	wms	ja-JP	該当の入庫ラベルNo.は数量を超えています。		該当の入庫ラベルNo.は数量を超えています。								
handyStoreLabelNoQtyShortageError	error	wms	ja-JP	該当の入庫ラベルNo.の数量が不足です。		該当の入庫ラベルNo.の数量が不足です。								
handyStoreNoDifferError	error	wms	ja-JP	入庫ラベルNo.が異なります。		入庫ラベルNo.が異なります。								
handyStoreNoNotInputError	error	wms	ja-JP	入庫ラベルNo.をスキャンして下さい。		入庫ラベルNo.をスキャンして下さい。								
handyTagOutputError	error	wms	ja-JP	荷札/納品明細書出力エラー。PCで出力し直して下さい。検品は終了しています。		荷札/納品明細書出力エラー。PCで出力し直して下さい。検品は終了しています。								
handyVendorFlagNotFoundError	error	wms	ja-JP	取引先マスタに仕入先が存在しません。		取引先マスタに仕入先が存在しません。								
heightBulkCheckInputIntegerLengthError	error	wms	ja-JP	【在庫最小単位】高さ(mm)は整数10桁以内を入力して下さい。	整数10桁以内									
heightCheckInputDecimalLengthError	error	wms	ja-JP	【在庫最小単位】高さ(mm)は小数3桁以内を入力して下さい。	小数3桁以内									
heightCheckInputIntegerLengthError	error	wms	ja-JP	【在庫最小単位】高さ(mm) は整数[0]桁以内を入力して下さい。	整数[0]桁以内									
heightCheckInputMinError	error	wms	ja-JP	【在庫最小単位】高さ(mm)は最小0以上を入力して下さい。	最小0以上									
heightCheckNumericOnlyError	error	wms	ja-JP	【在庫最小単位】高さ(mm)数値のみ	数値のみ									
heightInputDecimalLengthError	error	wms	ja-JP	高(mm)は小数3桁以内を入力して下さい。	小数3桁以内									
heightInputIntegerLengthError	error	wms	ja-JP	高さ(mm)は整数[0]桁以内を入力して下さい。	整数[0]桁以内									
heightInputRequestMinIsZeroError	error	wms	ja-JP	高さ(mm)は最小0以上を入力して下さい。	最小0以上									
identicalShippingSlipNoNotSelectError	error	wms	ja-JP	同じ伝票No.を選択して下さい。	未選択									
identityParentProductAndStructureProductError	error	wms	ja-JP	親銘柄と構成品が同じです。	同じ									
importTypeDuplicateError	error	wms	ja-JP	取込種別CDが重複しています。	重複									
importTypeNotFoundError	error	wms	ja-JP	取込み種別マスタに存在しません。	未存在									
inputError	error	wms	ja-JP	入力内容に誤りがあります。	入力内容不正									
inputLimitCheckCdReversalError	error	wms	ja-JP	ロケーションCDFromTo逆転	FromTo逆転									
inputLimitCheckReversalError	error	wms	ja-JP	日付FromTo逆転	FromTo逆転									
inputLimitDateOverError	error	wms	ja-JP	入力した期限日が入荷限界日を過ぎています。										
inputProductDecimalExistFlgError	error	wms	ja-JP	数量に小数を含む銘柄は入力できません。	小数有り銘柄入力不可									
insertDataNotFoundInformation	info	wms	ja-JP	登録対象データが存在しません。	未存在									
inspectCannotSelectOnlyCaseError	error	wms	ja-JP	対象の出庫作業No.／出荷梱包No.はケースのみなので、出荷検品できません。	選択不可									
inspectCannotStartSomeStockOutShippingStopDataError	error	wms	ja-JP	一部欠品の出荷停止データが含まれています。	一部欠品の出荷停止データが含まれています。									
inspectCompleteAllInformation	info	wms	ja-JP	すべての検品作業が完了しました。	完了情報									
inspectQtyCannotInputMoreThanShipOderQtyError	error	wms	ja-JP	該当銘柄は指示数を超えています。	指示数超え入力不可									
inspectRestartConfirmation	confirm	wms	ja-JP	出荷検品処理を再開します。	再開確認									
inspectResultClearCompletedConfirmation	confirm	wms	ja-JP	検品完了です。クリアしますか？	初期化確認									
inspectResultClearCompletedInformation	info	wms	ja-JP	検品クリア処理が正常終了しました。	完了情報									
inspectResultClearInspectingConfirmation	confirm	wms	ja-JP	検品中です。クリアして宜しいでしょうか？	初期化確認									
inspectResultQtyClearConfirmation	confirm	wms	ja-JP	該当銘柄の検品数をリセットします。宜しいですか？	初期化確認									
inspectedDataFoundError	error	wms	ja-JP	出荷検品済のデータが含まれています。	存在									
inspectionLabelAutoPrintFailedWarn	warn	wms	ja-JP	検品ラベルの発行に失敗しました。ピッキングは終了しています。	ラベル発行失敗									
instNumCannotExecuteOverageError	error	wms	ja-JP	構成品の指示数が超過している為、指示できません。	指示数超過									
instNumCannotExecuteShortageError	error	wms	ja-JP	構成品の指示数が不足している為、指示できません。	指示数不足									
instNumCheckInputDecimalError	error	wms	ja-JP	指示数に小数は入力できません。	小数不可									
instNumCheckInputDecimalMaxError	error	wms	ja-JP	指示数は小数3桁以内を入力して下さい。	小数3桁以内									
instNumCheckInputDecimalMinError	error	wms	ja-JP	指示数は0.001以上を入力して下さい。	0.001以上									
instNumCheckInputIntegerError	error	wms	ja-JP	指示数は整数7桁以内を入力して下さい。	整数7桁以内									
instNumCheckInputIntegerLengthError	error	wms	ja-JP	指示数は整数[0]桁以内を入力して下さい。	整数[0]桁以内									
instNumCheckNumericOnlyError	error	wms	ja-JP	指示数 数値のみ	数値のみ									
instNumInputRequestMoreThanMinError	error	wms	ja-JP	指示数は[0]以上の数値を入力して下さい。	[0]以上の数値入力									
instNumInputRequestMoreThanOneError	error	wms	ja-JP	指示数は1以上の数値を入力して下さい。	1以上の数値入力									
instNumNotInputError	error	wms	ja-JP	指示数を入力して下さい。	未入力									
installmentReceivePlanDateNotInputError	error	wms	ja-JP	分納の場合は分納指示日を入力して下さい。	未入力									
instructionRegisterShortageError	error	wms	ja-JP	構成品の指示数が不足している為、解除できません。	解除不可									
interruptInspectCompleteInformation	info	wms	ja-JP	検品中断処理が正常終了しました。	完了情報									
interruptInspectExecuteConfirmation	confirm	wms	ja-JP	検品を中断します。宜しいですか？	実行確認									
inventoryAllCompleteStockUpdateError	error	wms	ja-JP	既に在庫調整済です、更新できません	完了									
inventoryAllNoDiffStockUpdateError	error	wms	ja-JP	差異が無い銘柄は更新できません	差異なし									
inventoryBulkUpdateCannotUpdateNotInventoryInputError	error	wms	ja-JP	棚卸入力がされていないデータは更新できません。	棚卸入力無									
invoiceTagReportOutputCannotSelectDifferentTagTypeError	error	wms	ja-JP	異なる送り状種別のデータが選択されているため、出力できません。	選択不可									
itemInspectedError	error	wms	ja-JP	対象銘柄は検品済です。	検品済									
janCdCheckInputMaxError	error	wms	ja-JP	ソースCDは最大30文字以下を入力して下さい。	最大30文字以下									
janCdCheckNumericOnlyError	error	wms	ja-JP	ソースCDは数値で入力して下さい。	数値のみ									
janCdDuplicateError	error	wms	ja-JP	ソースCDが重複しています。	重複									
janCodeInputError	error	wms	ja-JP	ソースCDの入力内容に誤りがあります。	入力内容不正									
jpCarrierZipInputProgramNameInputWorkInformation	info	wms	ja-JP	日本郵政着店マスタ取込（ワーク取込）	プログラム名称情報									
jpCarrierZipInputProgramNameRegisterInformation	info	wms	ja-JP	日本郵政着店マスタ取込（データ移行）	プログラム名称情報									
keyItemCannotChangeError	error	wms	ja-JP	キー項目の変更はできません。	キー項目変更不可									
keyItemDuplicateError	error	wms	ja-JP	キーが重複しています。	重複									
laborMasterIsNotRegistered	error	wms	ja-JP	労務マスタが登録されていません。管理者に問い合わせてください。	未登録									
largestShapeCdNotSelectedAsParentShapeCdError	error	wms	ja-JP	荷姿の親子関係が不正です。	親子関係不正									
lengthBulkCheckInputIntegerLengthError	error	wms	ja-JP	【在庫最小単位】縦(mm)は整数10桁以内を入力して下さい。	整数10桁以内									
lengthCheckInputDecimalLengthError	error	wms	ja-JP	【在庫最小単位】縦(mm)は小数3桁以内を入力して下さい。	小数3桁以内									
lengthCheckInputIntegerLengthError	error	wms	ja-JP	【在庫最小単位】縦(mm) は整数[0]桁以内を入力して下さい。	整数[0]桁以内									
lengthCheckInputMinError	error	wms	ja-JP	【在庫最小単位】縦(mm)は最小0以上を入力して下さい。	最小0以上									
lengthCheckNumericOnlyError	error	wms	ja-JP	【在庫最小単位】縦(mm)数値のみ	数値のみ									
lengthInputDecimalLengthError	error	wms	ja-JP	縦(mm)は小数3桁以内を入力して下さい。	小数3桁以内									
