メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ
gridColExtDialogDescription_A02_06_Title	info	base	ja-JP	[blank]										
gridColExtDialogDescription_A02_06_Value	info	base	ja-JP	マウスで境目を直接左右に動かす事でも調整できます。										
gridColExtDialogDescription_A02_07_Title	info	base	ja-JP	【閉じる】ボタン										
gridColExtDialogDescription_A02_07_Value	info	base	ja-JP	変更を破棄して当画面を閉じます。変更は保存されません。										
gridColExtDialogDescription_A02_08_Title	info	base	ja-JP	【リセット】ボタン										
gridColExtDialogDescription_A02_08_Value	info	base	ja-JP	保存した状態を破棄して初期状態に戻ります。初期状態を保存したい場合は【登録】ボタンを押してください。										
gridColExtDialogDescription_A02_09_Title	info	base	ja-JP	【登録】ボタン										
gridColExtDialogDescription_A02_09_Value	info	base	ja-JP	変更した内容を保存して当画面を閉じます。										
gridColExtDialogDescription_A03_00_Head	info	base	ja-JP	ヒント										
gridColExtDialogDescription_A03_01_Title	info	base	ja-JP	幅の制限										
gridColExtDialogDescription_A03_01_Value	info	base	ja-JP	幅に入力できる大きさは、最小が40、最大が2000です。単位はピクセルです。										
gridColExtDialogDescription_A03_02_Title	info	base	ja-JP	幅を戻す										
gridColExtDialogDescription_A03_02_Value	info	base	ja-JP	列の境目をダブルクリックすると初期状態の幅に戻ります。										
gridColExtDialogDescription_A03_03_Title	info	base	ja-JP	複数列の順序を移動										
gridColExtDialogDescription_A03_03_Value	info	base	ja-JP	列一覧 または、列幅一覧でCtrlキーを押しながら列をクリックすることで複数の列を選択できます。										
gridColExtDialogDescription_A03_04_Title	info	base	ja-JP	[blank]										
gridColExtDialogDescription_A03_04_Value	info	base	ja-JP	選択した列は移動ボタンで順序を変更できます。										
httpConnectionError	error	base	ja-JP	サーバに接続出来ませんでした。  HttpStatus:[0]  接続先:[1]	サーバ接続不可									
