辞書マスタ	HT辞書マスタ	辞書マスタ	辞書マスタ	辞書検証マスタ	辞書検証マスタ	辞書検証マスタ	辞書検証マスタ	辞書検証マスタ	辞書検証マスタ	辞書検証マスタ	辞書検証マスタ	辞書カルチャマスタ	辞書カルチャマスタ	HT辞書カルチャマスタ	辞書カルチャマスタ	辞書カルチャマスタ	HT辞書カルチャマスタ	辞書カルチャマスタ	辞書カルチャマスタ	HT辞書カルチャマスタ
DICT_NM	DICT_NM	DATA_TYPE	SYSTEM_TYPE	INPUT_LIMIT	LIMIT_MESSAGE_CD	MIN_CHARS	MAX_CHARS	MIN_NUMBER	MAX_NUMBER	INTEGER_LENGTH	DECIMAL_LENGTH	CULTURE_CD	DICT_NM	DICT_NM	CULTURE_CD	DICT_NM	DICT_NM	CULTURE_CD	DICT_NM	DICT_NM
メインメニュー	メインメニュー		base									ja-JP	メインメニュー	メインメニュー	en-US	Main Menu	Main Menu	zh-CN	主菜单	主菜单
プレビュー			base									ja-JP	プレビュー		en-US	Preview		zh-CN	预览	
印刷設定			base									ja-JP	印刷設定		en-US	Print Settings		zh-CN	打印设定	
プリンタ	プリンタ		base									ja-JP	プリンタ	プリンタ	en-US	Printer	Printer	zh-CN	打印机	打印机
部数			base	^[0-9]*$	inputLimitCheckNumericOnlyError			1		2	0	ja-JP	部数		en-US	Number of Copies		zh-CN	部数	
部単位			base									ja-JP	部単位		en-US	Collate		zh-CN	遂份	
給紙トレイ			base									ja-JP	給紙トレイ		en-US	Paper feed tray		zh-CN	给纸支架	
帳票レイアウト	帳票レイアウト		base									ja-JP	帳票レイアウト	帳票レイアウト	en-US	Document Layout	Document Layout	zh-CN	报表版面设计	报表版面设计
印刷			base									ja-JP	印刷		en-US	Print		zh-CN	打印	
レイアウトファイルアップロード			base									ja-JP	レイアウトファイルアップロード		en-US	Layout File Upload		zh-CN	版面设计文件上传	
帳票選択			base									ja-JP	帳票選択		en-US	Document Selection		zh-CN	报表选择	
帳票レイアウトファイルアップロード			base									ja-JP	帳票レイアウトファイルアップロード		en-US	Document Layout File Upload		zh-CN	报表版面设计文件上传	
サブレポートレイアウトファイルアップロード			base									ja-JP	サブレポートレイアウトファイルアップロード		en-US	Sub-Report Layout File Upload		zh-CN	子报表版面设计文件上传	
日本語(日本)			base									ja-JP	日本語(日本)		en-US	Japanese		zh-CN	日语(日本)	
管理者			base									ja-JP	管理者		en-US	Administrator		zh-CN	管理员	
システム管理者			base									ja-JP	システム管理者		en-US	System Administrator		zh-CN	系统管理员	
標準ユーザ			base									ja-JP	標準ユーザ		en-US	Standard User		zh-CN	标准用户	
